新流水序,臺灣標準字,Unicode-tw,大陸規範字,Unicode-cn
3034790000,彡,5f61,彡,5f61
2010250000,彳,5f73,彳,5f73
2034910000,纔,7e94,才,624d
1030790000,糸,7cf8,纟,7e9f
1043700000,門,9580,门,95e8
1045800000,飛,98db,飞,98de
1046190000,馬,99ac,马,9a6c
1000100000,不,4e0d,不,4e0d
1033980000,與,8207,与,4e0e
2000030000,丏,4e0f,丏,4e0f
1000090000,丐,4e10,丐,4e10
1000080000,丑,4e11,丑,4e11
1042470000,醜,919c,丑,4e11
1039100000,豐,8c50,丰,4e30
2000070000,丰,4e30,丰,4e30
1044710000,雲,96f2,云,4e91
1000530000,互,4e92,互,4e92
2000120000,亓,4e93,亓,4e93
1000690000,仁,4ec1,仁,4ec1
1002290000,僅,50c5,仅,4ec5
1002410000,僕,50d5,仆,4ec6
1000730000,仇,4ec7,仇,4ec7
2000180000,仉,4ec9,仉,4ec9
1000750000,今,4eca,今,4eca
1000760000,介,4ecb,介,4ecb
1000740000,仍,4ecd,仍,4ecd
1012930000,從,5f9e,从,4ece
1002650000,允,5141,允,5141
1002880000,公,516c,公,516c
1002820000,內,5167,内,5185
1011070000,岡,5ca1,冈,5188
1003030000,冗,5197,冗,5197
1047200000,鳳,9cf3,凤,51e4
1002690000,兇,5147,凶,51f6
1003330000,刈,5208,刈,5208
1004040000,勸,52f8,劝,529d
1041060000,辦,8fa6,办,529e
1004050000,勻,52fb,匀,5300
1004150000,化,5316,化,5316
1004250000,匹,5339,匹,5339
1004270000,區,5340,区,533a
1004330000,卅,5345,卅,5345
2015310000,昇,6607,升,5347
1004440000,卞,535e,卞,535e
1004590000,厄,5384,厄,5384
2055250000,阨,9628,厄,5384
4046790000,戹,6239,厄,5384
1018220000,曆,66c6,历,5386
1020740000,歷,6b77,历,5386
2002840000,厤,53a4,历,5386
1004710000,及,53ca,及,53ca
1004700000,友,53cb,友,53cb
1044630000,雙,96d9,双,53cc
1004720000,反,53cd,反,53cd
1008320000,壬,58ec,壬,58ec
1008490000,天,5929,天,5929
1008510000,太,592a,太,592a
1000920000,伕,4f15,夫,592b
2006090000,夬,592c,夬,592c
1008520000,夭,592d,夭,592d
2019380000,殀,6b80,夭,592d
2007590000,尐,5c10,尐,5c10
1010690000,少,5c11,少,5c11
1010720000,尤,5c24,尤,5c24
1000300000,尹,5c39,尹,5c39
1011570000,巴,5df4,巴,5df4
1011840000,幣,5e63,币,5e01
1011970000,幻,5e7b,幻,5e7b
1012380000,廿,5eff,廿,5eff
1043760000,開,958b,开,5f00
1013050000,心,5fc3,心,5fc3
1014660000,戈,6208,戈,6208
1014870000,戶,6236,户,6237
1014950000,手,624b,手,624b
1031050000,紮,7d2e,扎,624e
3045510000,攴,6534,攴,6534
1017430000,文,6587,文,6587
1046780000,鬥,9b25,斗,6597
4173570000,鬦,9B26,斗,6597
1017510000,斤,65a4,斤,65a4
1024160000,無,7121,无,65e0
5000560000,无,65e0,无,65e0
1017710000,日,65e5,日,65e5
1018300000,曰,66f0,曰,66f0
1018410000,月,6708,月,6708
1020660000,止,6b62,止,6b62
1020760000,歹,6b79,歹,6b79
2019630000,殳,6bb3,殳,6bb3
1020970000,毋,6bcb,毋,6bcb
1021020000,比,6bd4,比,6bd4
1021040000,毛,6bdb,毛,6bdb
1021150000,氣,6c23,气,6c14
2019980000,气,6c14,气,6c14
1023830000,火,706b,火,706b
1024660000,爪,722a,爪,722a
1024710000,父,7236,父,7236
1024790000,片,7247,片,7247
1024850000,牙,7259,牙,7259
1025070000,犬,72ac,犬,72ac
1025520000,王,738b,王,738b
1037660000,見,898b,见,89c1
1039270000,貝,8c9d,贝,8d1d
1040610000,車,8eca,车,8f66
1045250000,韋,97cb,韦,97e6
1045720000,風,98a8,风,98ce
3030450000,㠲,3832,㠲,3832
1000130000,丕,4e15,丕,4e15
1000120000,世,4e16,世,4e16
1000150000,丘,4e18,丘,4e18
1019740000,業,696d,业,4e1a
1018750000,東,6771,东,4e1c
1000310000,乍,4e4d,乍,4e4d
1000810000,仕,4ed5,仕,4ed5
1000820000,他,4ed6,他,4ed6
1000790000,付,4ed8,付,4ed8
2001450000,僊,50ca,仙,4ed9
1000870000,仞,4ede,仞,4ede
1004340000,仟,4edf,仟,4edf
1000840000,代,4ee3,代,4ee3
1000850000,令,4ee4,令,4ee4
1000780000,以,4ee5,以,4ee5
2000190000,仨,4ee8,仨,4ee8
1002460000,儀,5100,仪,4eea
1002670000,兄,5144,兄,5144
1002660000,充,5145,充,5145
1002960000,冉,5189,冉,5189
1002970000,冊,518a,册,518c
1010540000,寫,5beb,写,5199
1047870000,鼕,9f15,冬,51ac
1003260000,凸,51f8,凸,51f8
1003240000,凹,51f9,凹,51f9
1003250000,出,51fa,出,51fa
1047980000,齣,9f63,出,51fa
1003340000,刊,520a,刊,520a
4057720000,栞,681E,刊,520a
1003810000,功,529f,功,529f
1003800000,加,52a0,加,52a0
1003930000,務,52d9,务,52a1
1004090000,匆,5306,匆,5306
1004160000,北,5317,北,5317
2002640000,匜,531c,匜,531c
1004180000,匝,531d,匝,531d
1004360000,卉,5349,卉,5349
1004350000,半,534a,半,534a
1001190000,佔,4f54,占,5360
1004490000,卮,536e,卮,536e
1004650000,厲,53b2,厉,5389
1027200000,發,767c,发,53d1
1046690000,髮,9aee,发,53d1
1004820000,古,53e4,古,53e4
1004920000,另,53e6,另,53e6
1004930000,只,53ea,只,53ea
1044490000,隻,96bb,只,53ea
1004910000,叫,53eb,叫,53eb
4014490000,呌,544C,叫,53eb
1004840000,召,53ec,召,53ec
1004850000,叮,53ee,叮,53ee
1004960000,台,53f0,台,53f0
1033910000,臺,81fa,台,53f0
1045740000,颱,98b1,台,53f0
2018780000,檯,6aaf,台,53f0
1004950000,叱,53f1,叱,53f1
1004940000,史,53f2,史,53f2
1004830000,右,53f3,右,53f3
1004900000,叵,53f5,叵,53f5
1036120000,號,865f,号,53f7
1004890000,司,53f8,司,53f8
1006670000,嘆,5606,叹,53f9
2019310000,歎,6b4e,叹,53f9
1004880000,叼,53fc,叼,53fc
1006870000,嘰,5630,叽,53fd
1007250000,囚,56da,囚,56da
1032700000,聖,8056,圣,5723
1036070000,處,8655,处,5904
1008530000,央,592e,央,592e
1008540000,失,5931,失,5931
1045550000,頭,982d,头,5934
1008780000,奴,5974,奴,5974
1008790000,奶,5976,奶,5976
2007190000,嬭,5b2d,奶,5976
1009860000,孕,5b55,孕,5b55
1010430000,寧,5be7,宁,5b81
2027170000,甯,752f,宁,5b81
1010660000,對,5c0d,对,5bf9
1024770000,爾,723e,尔,5c14
2007610000,尒,5c12,尔,5c14
2007670000,尻,5c3b,尻,5c3b
1010780000,尼,5c3c,尼,5c3c
1011510000,左,5de6,左,5de6
1011500000,巧,5de7,巧,5de7
1011490000,巨,5de8,巨,5de8
2000400000,佈,4f48,布,5e03
1011980000,幼,5e7c,幼,5e7c
2009510000,庀,5e80,庀,5e80
4038430000,弍,5F0D,弍,5f0d
1012480000,弘,5f18,弘,5f18
1020750000,歸,6b78,归,5f52
1013060000,必,5fc5,必,5fc5
1016620000,撲,64b2,扑,6251
1015000000,扒,6252,扒,6252
1017520000,斥,65a5,斥,65a5
1017720000,旦,65e6,旦,65e6
1034010000,舊,820a,旧,65e7
2032250000,劄,5284,札,672d
1018540000,朮,672e,术,672f
1037010000,術,8853,术,672f
1020980000,母,6bcd,母,6bcd
1021100000,氐,6c10,氐,6c10
1021090000,民,6c11,民,6c11
1021250000,永,6c38,永,6c38
1021270000,汀,6c40,汀,6c40
1021260000,汁,6c41,汁,6c41
1023080000,漢,6f22,汉,6c49
2024980000,犮,72ae,犮,72ae
1025080000,犯,72af,犯,72af
1025500000,玄,7384,玄,7384
1025530000,玉,7389,玉,7389
1026100000,瓜,74dc,瓜,74dc
1026140000,瓦,74e6,瓦,74e6
1026200000,甘,7518,甘,7518
1026230000,生,751f,生,751f
1026270000,用,7528,用,7528
1026280000,甩,7529,甩,7529
1026320000,田,7530,田,7530
1026330000,由,7531,由,7531
1044730000,電,96fb,电,7535
3078060000,疒,7592,疒,7592
3080790000,癶,7676,癶,7676
1027360000,皿,76bf,皿,76bf
1027560000,目,76ee,目,76ee
1028140000,矛,77db,矛,77db
1028160000,矢,77e2,矢,77e2
1028770000,示,793a,示,793a
2030820000,禸,79b8,禸,79b8
1029770000,立,7acb,立,7acb
1040620000,軋,8ecb,轧,8f67
1042220000,鄧,9127,邓,9093
1043690000,長,9577,长,957f
1047160000,鳥,9ce5,鸟,9e1f
1048060000,龍,9f8d,龙,9f99
1000170000,丟,4e1f,丢,4e22
1000340000,乒,4e52,乒,4e52
1000350000,乓,4e53,乓,4e53
1006410000,喬,55ac,乔,4e54
1024680000,爭,722d,争,4e89
1000550000,亙,4e99,亘,4e98
1000570000,亞,4e9e,亚,4e9a
1001000000,仰,4ef0,仰,4ef0
1000970000,仲,4ef2,仲,4ef2
1001010000,仳,4ef3,仳,4ef3
1000980000,件,4ef6,件,4ef6
1002490000,價,50f9,价,4ef7
1000990000,任,4efb,任,4efb
1001020000,份,4efd,份,4efd
1001710000,倣,5023,仿,4eff
1001030000,企,4f01,企,4f01
3000800000,伈,4f08,伈,4f08
1000890000,伉,4f09,伉,4f09
1000910000,伊,4f0a,伊,4f0a
2000290000,伋,4f0b,伋,4f0b
1000930000,伍,4f0d,伍,4f0d
2000240000,伎,4f0e,伎,4f0e
1000960000,伏,4f0f,伏,4f0f
1000940000,伐,4f10,伐,4f10
1000950000,休,4f11,休,4f11
1027720000,眾,773e,众,4f17
1002570000,優,512a,优,4f18
1000900000,伙,4f19,伙,4f19
1008450000,夥,5925,伙,4f19
1018400000,會,6703,会,4f1a
2001460000,傴,50b4,伛,4f1b
1002700000,兆,5146,兆,5146
1002830000,全,5168,全,5168
1043980000,關,95dc,关,5173
1033990000,興,8208,兴,5174
1041110000,農,8fb2,农,519c
1021500000,沖,6c96,冲,51b2
1037050000,衝,885d,冲,51b2
1021450000,決,6c7a,决,51b3
3060610000,氹,6c39,凼,51fc
1003380000,刎,520e,刎,520e
1003360000,刑,5211,刑,5211
1003730000,劃,5283,划,5212
1003350000,列,5217,列,5217
1003760000,劉,5289,刘,5218
1003820000,劣,52a3,劣,52a3
1003950000,動,52d5,动,52a8
1004100000,匈,5308,匈,5308
1004200000,匠,5320,匠,5320
1035030000,華,83ef,华,534e
1004380000,協,5354,协,534f
1004500000,印,5370,印,5370
1008220000,壓,58d3,压,538b
1030550000,籲,7c72,吁,5401
1005100000,吃,5403,吃,5403
2003730000,喫,55ab,吃,5403
1005120000,吆,5406,吆,5406
1043860000,閤,95a4,合,5408
1004990000,吉,5409,吉,5409
1005020000,吊,540a,吊,540a
1012460000,弔,5f14,吊,540a
1005050000,吋,540b,吋,540b
1005010000,同,540c,同,540c
2044610000,衕,8855,同,540c
1012870000,後,5f8c,后,540e
1005000000,吏,540f,吏,540f
1005030000,吐,5410,吐,5410
1007090000,嚮,56ae,向,5411
2015850000,曏,66cf,向,5411
1007060000,嚇,5687,吓,5413
1005250000,呂,5442,吕,5415
1041320000,迴,8ff4,回,56de
2004810000,囟,56df,囟,56df
1007260000,因,56e0,因,56e0
2004800000,囡,56e1,囡,56e1
1007380000,團,5718,团,56e2
2033230000,糰,7cf0,团,56e2
1007450000,圬,572c,圬,572c
2016150000,杇,6747,圬,572c
2004990000,圮,572e,圮,572e
1007420000,地,5730,地,5730
1007410000,圳,5733,圳,5733
1008330000,壯,58ef,壮,58ee
1008410000,夙,5919,夙,5919
1008420000,多,591a,多,591a
1008550000,夷,5937,夷,5937
1008560000,夸,5938,夸,5938
1038200000,誇,8a87,夸,5938
1008810000,奸,5978,奸,5978
1009230000,姦,59e6,奸,5978
1008840000,她,5979,她,5979
1008830000,好,597d,好,597d
1008860000,妁,5981,妁,5981
1008850000,如,5982,如,5982
1008820000,妃,5983,妃,5983
1008800000,妄,5984,妄,5984
1008870000,妝,599d,妆,5986
1009870000,字,5b57,字,5b57
1009880000,存,5b58,存,5b58
1010060000,宇,5b87,宇,5b87
1010070000,守,5b88,守,5b88
1010090000,安,5b89,安,5b89
1010580000,寺,5bfa,寺,5bfa
1010700000,尖,5c16,尖,5c16
1008040000,塵,5875,尘,5c18
1002540000,儘,5118,尽,5c3d
1027500000,盡,76e1,尽,5c3d
1011010000,屹,5c79,屹,5c79
1020730000,歲,6b72,岁,5c81
1011460000,州,5dde,州,5dde
1045160000,鞏,978f,巩,5de9
1011740000,師,5e2b,师,5e08
1011940000,年,5e74,年,5e74
1000180000,並,4e26,并,5e76
1001410000,併,4f75,并,5e76
1034880000,莊,838a,庄,5e84
1014240000,慶,6176,庆,5e86
1026490000,異,7570,异,5f02
2009990000,异,5f02,异,5f02
1012430000,式,5f0f,式,5f0f
2010030000,弚,5f1a,弚,5f1a
1012500000,弛,5f1b,弛,5f1b
1006900000,噹,5679,当,5f53
1026520000,當,7576,当,5f53
1014610000,懺,61fa,忏,5fcf
1013080000,忖,5fd6,忖,5fd6
1013070000,忙,5fd9,忙,5fd9
1014700000,戍,620d,戍,620d
1014840000,戲,6232,戏,620f
4046570000,戯,622F,戏,620f
1014710000,成,6210,成,6210
1037910000,託,8a17,托,6258
1015020000,扛,625b,扛,625b
2013640000,摃,6443,扛,625b
2012500000,扡,6261,扡,6261
1015010000,扣,6263,扣,6263
1042670000,釦,91e6,扣,6263
1007840000,執,57f7,执,6267
1017740000,旨,65e8,旨,65e8
2010930000,恉,6049,旨,65e8
1017730000,早,65e9,早,65e9
1017750000,旬,65ec,旬,65ec
1017760000,旭,65ed,旭,65ed
1047620000,麴,9eb4,曲,66f2
1018320000,曳,66f3,曳,66f3
1018420000,有,6709,有,6709
1018610000,朱,6731,朱,6731
1028380000,硃,7843,朱,6731
1020190000,樸,6a38,朴,6734
1018620000,朵,6735,朵,6735
1020310000,機,6a5f,机,673a
2016120000,朼,673c,朼,673c
1018590000,朽,673d,朽,673d
1020910000,殺,6bba,杀,6740
1044620000,雜,96dc,杂,6742
1020530000,次,6b21,次,6b21
1020650000,歡,6b61,欢,6b22
2012250000,懽,61fd,欢,6b22
1020680000,此,6b64,此,6b64
1020770000,死,6b7b,死,6b7b
2020170000,汍,6c4d,汍,6c4d
1021350000,汐,6c50,汐,6c50
1021360000,汕,6c55,汕,6c55
1021300000,汝,6c5d,汝,6c5d
1021330000,江,6c5f,江,6c5f
1021340000,池,6c60,池,6c60
1021320000,汙,6c59,污,6c61
1024440000,燈,71c8,灯,706f
1023840000,灰,7070,灰,7070
1024880000,牝,725d,牝,725d
1024870000,牟,725f,牟,725f
1026020000,璣,74a3,玑,7391
2027150000,甪,752a,甪,752a
1029060000,禮,79ae,礼,793c
1030560000,米,7c73,米,7c73
1031930000,纖,7e96,纤,7ea4
2034400000,縴,7e34,纤,7ea4
1031950000,缶,7f36,缶,7f36
1031370000,網,7db2,网,7f51
2035050000,网,7f51,网,7f51
1032150000,羊,7f8a,羊,7f8a
1032310000,羽,7fbd,羽,7fbd
1032510000,老,8001,老,8001
1032520000,考,8003,考,8003
1032550000,而,800c,而,800c
1032580000,耒,8012,耒,8012
1032830000,聿,807f,聿,807f
1032890000,肋,808b,肋,808b
1032900000,肌,808c,肌,808c
1033820000,臣,81e3,臣,81e3
1033890000,至,81f3,至,81f3
1034020000,舌,820c,舌,820c
1034070000,舛,821b,舛,821b
1034100000,舟,821f,舟,821f
3113850000,艻,827b,艻,827b
2037790000,艽,827d,艽,827d
1034280000,艾,827e,艾,827e
3113870000,艿,827f,艿,827f
3121440000,虍,864d,虍,864d
1036830000,蟲,87f2,虫,866b
1037080000,衣,8863,衣,8863
2045840000,襾,897e,襾,897e
1037990000,設,8a2d,设,8bbe
1041960000,邊,908a,边,8fb9
2051080000,邙,9099,邙,9099
1045360000,頁,9801,页,9875
1047940000,齊,9f4a,齐,9f50
1002840000,兩,5169,两,4e24
1000450000,亂,4e82,乱,4e71
1001270000,伶,4f36,伶,4f36
1001170000,伸,4f38,伸,4f38
1001160000,伺,4f3a,伺,4f3a
1001200000,似,4f3c,似,4f3c
1001150000,伽,4f3d,伽,4f3d
1001180000,佃,4f43,佃,4f43
1001210000,但,4f46,但,4f46
3001040000,佊,4f4a,佊,4f4a
1001040000,位,4f4d,位,4f4d
1001260000,低,4f4e,低,4f4e
1001050000,住,4f4f,住,4f4f
1001130000,佐,4f50,佐,4f50
1001140000,佑,4f51,佑,4f51
1046660000,體,9ad4,体,4f53
1001110000,何,4f55,何,4f55
2000460000,佘,4f58,佘,4f58
1046000000,餘,9918,余,4f59
1012800000,彿,5f7f,佛,4f5b
2027500000,痀,75c0,佝,4f5d
1001080000,佞,4f5e,佞,4f5e
1001240000,你,4f60,你,4f60
1009120000,妳,59b3,你,4f60
1001220000,佣,4f63,佣,4f63
1002250000,傭,50ad,佣,4f63
2000380000,佤,4f64,佤,4f64
1003570000,剋,524b,克,514b
4029220000,尅,5C05,克,514b
1002750000,免,514d,免,514d
1002720000,兌,514c,兑,5151
1002900000,兵,5175,兵,5175
2002020000,冏,518f,冏,518f
1021730000,況,6cc1,况,51b5
1003100000,冶,51b6,冶,51b6
1003110000,冷,51b7,冷,51b7
3004400000,冹,51b9,冹,51b9
1003420000,刪,522a,删,5220
1003400000,判,5224,判,5224
1042840000,鉋,924b,刨,5228
1003410000,利,5229,利,5229
1003390000,別,5225,别,522b
1012600000,彆,5f46,别,522b
1003840000,助,52a9,助,52a9
1003850000,努,52aa,努,52aa
1003830000,劫,52ab,劫,52ab
4007830000,刧,5227,劫,52ab
4007840000,刦,5226,劫,52ab
4007960000,刼,523C,劫,52ab
1003860000,劬,52ac,劬,52ac
1004030000,勵,52f5,励,52b1
1003960000,勞,52de,劳,52b3
1004210000,匣,5323,匣,5323
1042480000,醫,91ab,医,533b
2022500000,滷,6ef7,卤,5364
2062110000,鹵,9e75,卤,5364
1004570000,卻,537b,却,5374
2002780000,厎,538e,厎,538e
1005260000,君,541b,君,541b
1005140000,吝,541d,吝,541d
1005160000,吞,541e,吞,541e
1005400000,吟,541f,吟,541f
1005350000,吠,5420,吠,5420
6000480000,吡,5421,吡,5421
2003380000,唚,551a,吣,5423
1006930000,噸,5678,吨,5428
2002920000,吪,542a,吪,542a
1005390000,含,542b,含,542b
1032820000,聽,807d,听,542c
1005150000,吭,542d,吭,542d
1005320000,吮,542e,吮,542e
1017280000,啟,555f,启,542f
1005380000,吱,5431,吱,5431
1005230000,吳,5433,吴,5434
1005330000,吵,5435,吵,5435
2002910000,吷,5437,吷,5437
1005310000,吸,5438,吸,5438
1005290000,吹,5439,吹,5439
1005360000,吼,543c,吼,543c
1005170000,吾,543e,吾,543e
1005220000,呃,5443,呃,5443
1005210000,呆,5446,呆,5446
2025590000,獃,7343,呆,5446
1005240000,呈,5448,呈,5448
1005190000,呎,544e,呎,544e
1005340000,吶,5436,呐,5450
1007300000,囤,56e4,囤,56e4
2004840000,囧,56e7,囧,56e7
1007360000,園,5712,园,56ed
2004830000,囮,56ee,囮,56ee
1027770000,睏,774f,困,56f0
1007280000,囪,56ea,囱,56f1
2005010000,圻,573b,圻,573b
1007530000,圾,573e,圾,573e
1007490000,址,5740,址,5740
4019710000,坂,5742,坂,5742
2005020000,坅,5745,坅,5745
1007510000,均,5747,均,5747
1007470000,坊,574a,坊,574a
1007500000,坍,574d,坍,574d
1008260000,壞,58de,坏,574f
1007480000,坑,5751,坑,5751
2055230000,阬,962c,坑,5751
1008020000,塊,584a,块,5757
1008190000,壇,58c7,坛,575b
1032000000,罈,7f48,坛,575b
1008140000,墳,58b3,坟,575f
1032750000,聲,8072,声,58f0
3018870000,夋,590b,夋,590b
1008970000,妊,598a,妊,598a
1008940000,妍,598d,妍,598d
2006250000,妎,598e,妎,598e
2006270000,妐,5990,妐,5990
1008880000,妒,5992,妒,5992
1008960000,妓,5993,妓,5993
1008930000,妖,5996,妖,5996
2006240000,妗,5997,妗,5997
2006220000,妘,5998,妘,5998
1008920000,妙,5999,妙,5999
1008900000,妞,599e,妞,599e
2006230000,妠,59a0,妠,59a0
2006260000,妢,59a2,妢,59a2
1008910000,妣,59a3,妣,59a3
1008950000,妤,59a4,妤,59a4
1008980000,妥,59a5,妥,59a5
2006210000,妦,59a6,妦,59a6
1008890000,妨,59a8,妨,59a8
1009910000,孚,5b5a,孚,5b5a
1009890000,孝,5b5d,孝,5b5d
1010120000,宏,5b8f,宏,5b8f
1008360000,壽,58fd,寿,5bff
2007630000,尨,5c28,尨,5c28
1010790000,局,5c40,局,5c40
1040190000,跼,8dfc,局,5c40
2000760000,侷,4fb7,局,5c40
1010800000,屁,5c41,屁,5c41
1011050000,岌,5c8c,岌,5c8c
1011020000,岐,5c90,岐,5c90
1011030000,岑,5c91,岑,5c91
1011040000,岔,5c94,岔,5c94
2008370000,崗,5d17,岗,5c97
1011330000,嵐,5d50,岚,5c9a
1041160000,巡,5de1,巡,5de1
1011520000,巫,5deb,巫,5deb
1011640000,希,5e0c,希,5e0c
1012020000,庇,5e87,庇,5e87
2009560000,庈,5e88,庈,5e88
1012030000,床,5e8a,床,5e8a
2009530000,庋,5e8b,庋,5e8b
1012010000,序,5e8f,序,5e8f
1012330000,廬,5eec,庐,5e90
1012350000,廷,5ef7,廷,5ef7
1019440000,棄,68c4,弃,5f03
2044600000,衖,8856,弄,5f04
1012680000,形,5f62,形,5f62
1012670000,彤,5f64,彤,5f64
1012990000,徬,5fac,彷,5f77
1012770000,役,5f79,役,5f79
1013010000,徹,5fb9,彻,5f7b
1013100000,忌,5fcc,忌,5fcc
1013120000,忍,5fcd,忍,5fcd
2010490000,忐,5fd0,忐,5fd0
2010480000,忑,5fd1,忑,5fd1
2010470000,忒,5fd2,忒,5fd2
1013110000,志,5fd7,志,5fd7
1038320000,誌,8a8c,志,5fd7
1013090000,忘,5fd8,忘,5fd8
2010550000,忡,5fe1,忡,5fe1
2010570000,忣,5fe3,忣,5fe3
2010560000,忤,5fe4,忤,5fe4
1014290000,憂,6182,忧,5fe7
1013140000,快,5feb,快,5feb
2010520000,忮,5fee,忮,5fee
1013130000,忱,5ff1,忱,5ff1
2010540000,忸,5ff8,忸,5ff8
2010620000,忻,5ffb,忻,5ffb
1014120000,愾,613e,忾,5ffe
1014570000,懷,61f7,怀,6000
1014720000,戒,6212,戒,6212
2012390000,戺,623a,戺,623a
1015100000,扭,626d,扭,626d
1015190000,扮,626e,扮,626e
1015170000,扯,626f,扯,626f
2013980000,撦,64a6,扯,626f
1016990000,擾,64fe,扰,6270
2012600000,扱,6271,扱,6271
1015150000,扳,6273,扳,6273
1015080000,扶,6276,扶,6276
1015140000,批,6279,批,6279
2012620000,扺,627a,扺,627a
1015120000,扼,627c,扼,627c
2013610000,搤,6424,扼,627c
1015070000,技,6280,技,6280
1015040000,抄,6284,抄,6284
1015090000,抉,6289,抉,6289
1015160000,抒,6292,抒,6292
1015200000,投,6295,投,6295
1015060000,抖,6296,抖,6296
1015050000,抗,6297,抗,6297
1016550000,摺,647a,折,6298
1016730000,撫,64ab,抚,629a
1015350000,拋,62cb,抛,629b
1038940000,護,8b77,护,62a4
1007910000,報,5831,报,62a5
2014650000,攸,6538,攸,6538
1017170000,改,6539,改,6539
1017180000,攻,653b,攻,653b
2015190000,旰,65f0,旰,65f0
1017770000,旱,65f1,旱,65f1
1017940000,時,6642,时,65f6
1018330000,更,66f4,更,66f4
1019370000,桿,687f,杆,6746
1018640000,李,674e,李,674e
1018650000,杏,674f,杏,674f
1018660000,材,6750,材,6750
1018670000,村,6751,村,6751
1018690000,杖,6756,杖,6756
2016230000,杗,6757,杗,6757
1018680000,杜,675c,杜,675c
2016210000,杝,675d,杝,675d
1018630000,束,675f,束,675f
1019940000,槓,69d3,杠,6760
1019490000,條,689d,条,6761
1001380000,來,4f86,来,6765
1020990000,每,6bcf,每,6bcf
2019730000,毐,6bd0,毐,6bd0
1021290000,求,6c42,求,6c42
1021440000,汪,6c6a,汪,6c6a
2020370000,汭,6c6d,汭,6c6d
1021470000,汰,6c70,汰,6c70
1021540000,汲,6c72,汲,6c72
2020430000,汳,6c73,汳,6c73
2020210000,汴,6c74,汴,6c74
1021970000,洶,6d36,汹,6c79
1021520000,汽,6c7d,汽,6c7d
1021550000,汾,6c7e,汾,6c7e
1021390000,沁,6c81,沁,6c81
1021530000,沃,6c83,沃,6c83
3064150000,澐,6f90,沄,6c84
2020220000,沆,6c86,沆,6c86
1021400000,沈,6c88,沈,6c88
1023640000,瀋,700b,沈,6c88
1021410000,沉,6c89,沉,6c89
2020280000,沍,6c8d,沍,6c8d
2020300000,沏,6c8f,沏,6c8f
1021460000,沐,6c90,沐,6c90
2020320000,沘,6c98,沘,6c98
2020360000,沚,6c9a,沚,6c9a
1021430000,沛,6c9b,沛,6c9b
