新流水序,臺灣標準字,Unicode-tw,大陸規範字,Unicode-cn
1000010000,一,4e00,一,4e00
3000090000,丨,4e28,丨,4e28
3000180000,丶,4e36,丶,4e36
3000200000,丿,4e3f,丿,4e3f
3000520000,亅,4e85,亅,4e85
1000020000,丁,4e01,丁,4e01
1000030000,七,4e03,七,4e03
2000090000,乂,4e42,乂,4e42
1000260000,乃,4e43,乃,4e43
1041310000,迺,8ffa,乃,4e43
2000100000,乜,4e5c,乜,4e5c
1000490000,二,4e8c,二,4e8c
5000500000,亠,4ea0,亠,4ea0
1000680000,人,4eba,人,4eba
3003770000,儿,513f,儿,513f
1002850000,八,516b,八,516b
5000510000,冂,5182,冂,5182
5000440000,冖,5196,冖,5196
5000520000,冫,51ab,冫,51ab
1003190000,几,51e0,几,51e0
1012000000,幾,5e7e,几,51e0
5005060000,凵,2F81D,凵,51f5
1003280000,刀,5200,刀,5200
1003290000,刁,5201,刁,5201
1003790000,力,529b,力,529b
5000530000,勹,52f9,勹,52f9
1004140000,匕,5315,匕,5315
3008320000,匚,531a,匚,531a
3008600000,匸,5338,匸,5338
1004430000,卜,535c,卜,535c
1035570000,蔔,8514,卜,535c
3008910000,卩,5369,卩,5369
1012310000,廠,5ee0,厂,5382
2002770000,厂,5382,厂,5382
3009550000,厶,53b6,厶,53b6
1029090000,萬,842c,万,4e07
1000060000,丈,4e08,丈,4e08
1000040000,三,4e09,三,4e09
1000070000,上,4e0a,上,4e0a
1000050000,下,4e0b,下,4e0b
1001900000,個,500b,个,4e2a
2032230000,箇,7b87,个,4e2a
1000220000,丸,4e38,丸,4e38
1032230000,義,7fa9,义,4e49
1000410000,乞,4e5e,乞,4e5e
1000400000,也,4e5f,也,4e5f
1017600000,於,65bc,于,4e8e
1036130000,虧,8667,亏,4e8f
1000590000,亡,4ea1,亡,4ea1
1002450000,億,5104,亿,4ebf
1003300000,刃,5203,刃,5203
1004300000,千,5343,千,5343
1045240000,韆,97c6,千,5343
2004780000,囗,56d7,囗,56d7
1008310000,士,58eb,士,58eb
3018820000,夂,5902,夂,5902
3018830000,夊,590a,夊,590a
1008390000,夕,5915,夕,5915
1008770000,女,5973,女,5973
1009830000,孑,5b51,孑,5b51
3024620000,宀,5b80,宀,5b80
3025830000,尢,5c22,尢,5c22
1010760000,尸,5c38,尸,5c38
1010880000,屍,5c4d,尸,5c38
2007790000,屮,5c6e,屮,5c6e
1011000000,山,5c71,山,5c71
5000540000,巛,5ddb,巛,5ddb
1011450000,川,5ddd,川,5ddd
1011550000,已,5df2,已,5df2
1011600000,巾,5dfe,巾,5dfe
1000440000,乾,4e7e,干,5e72
1011960000,幹,5e79,干,5e72
2018070000,榦,69a6,干,5e72
1000280000,么,4e48,幺,5e7a
1012300000,廣,5ee3,广,5e7f
3032340000,广,5e7f,广,5e7f
3033840000,廴,5ef4,廴,5ef4
2009980000,廾,5efe,廾,5efe
1012450000,弓,5f13,弓,5f13
3034710000,彐,5f50,彐,5f50
