一枝草，一點露,123316,121904,,,,3
三鐵共構,121862,115091,,,,3
三夾板,413,109058,,,,3
上片,599,80244,,,,3
中間值定理,124200,122557,,,,3
中原標準時間,1206,61747,,,,3
使用者介面,124064,125264,,,,3
保留地,3028,60718,,,,3
假仙,3610,61164,,,,3
八點檔,4540,80983,,,,3
凸槌,5164,114141,,,,3
出草,5241,80738,,,,3
切結,5353,59084,,,,3
劇碼,5906,80252,,,,3
劈腿男,5926,2505,,,,3
勞工運動,73786,14086,,,,3
反潮,7103,80495,,,,3
吃到飽,123637,123196,,,,3
同人誌,49368,80514,,,,3
呼叫器,49187,903,,,,3
哩嚕,8393,62303,,,,3
唬爛,120668,17126,,,,3
國防體育,121753,97129,,,,3
國家標準時間,120627,17942,,,,3
大學學科能力測驗,120695,20724,,,,3
大麥克,10891,2737,,,,3
大家樂,10847,64912,,,,3
大姊頭,120700,21045,,,,3
存證信函,12424,63943,,,,3
尬車,13837,3575,,,,3
山老鼠,14087,65067,,,,3
幼齒,14936,65439,,,,3
建地,15220,3710,,,,3
指數型族群成長,123885,128151,,,,3
按鈴申告,18663,67742,,,,3
推甄,19310,114772,,,,3
推薦甄選,19324,111193,,,,3
揀破爛,19422,4056,,,,3
換檔,19539,114132,,,,3
搓圓仔湯,61813,8322,,,,3
搖臀舞,19720,4387,,,,3
搜尋引擎,123644,127046,,,,3
搶嫌,19657,80213,,,,3
教界,20524,80295,,,,3
本勞,22479,80647,,,,3
核子反應器,22915,111587,,,,3
機車停等區,129815,128370,,,,3
檳榔西施,23738,70127,,,,3
歐吉桑,23926,111664,,,,3
洽詢,25625,70094,,,,3
洽公,25623,80893,,,,3
海埔新生地,25922,70184,,,,3
滿額禮,26757,70584,,,,3
爐橋,121707,96654,,,,3
班導師,28924,70432,,,,3
甄訓,29190,80934,,,,3
碗公,31451,81133,,,,3
福利捐,31885,85516,,,,3
稱頭,32264,80558,,,,3
童玩,32651,70339,,,,3
筆記型電腦,32876,74720,,,,3
美勞,34671,87540,,,,3
育樂,35524,70893,,,,3
脫序,35806,70770,,,,3
自強活動,104044,131426,,,,3
華導,37333,86276,,,,3
蓋仙,37576,70930,,,,3
薦任,37749,85330,,,,3
藏鏡人,122071,128984,,,,3
蚊子館,38079,87250,,,,3
螢光燈,70242,87261,,,,3
西北雨,38990,71101,,,,3
親師懇談會,39198,81689,,,,3
觀選,39256,85641,,,,3
角錐體,124224,130465,,,,3
角頭,39277,81003,,,,3
設籍,39556,71056,,,,3
認分,39889,80418,,,,3
讀碼機,122845,121715,,,,3
迷你小學,120044,20300,,,,3
選務,69772,87938,,,,3
避震鞋,121533,89251,,,,3
阿茨海默症,45226,71665,,,,3
阿滋海默症,60496,87498,,,,3
電腦斷層攝影,46239,113850,,,,3
電視影集,46180,89306,,,,3
霜淇淋,46417,71780,,,,3
飛行車,47333,86313,,,,3
食物調理包,47383,71526,,,,3
養生村,47476,88839,,,,3
龜毛,49045,71606,,,,3
一價吃到飽,290,180,,,,3
