流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六,
0108,俺,ㄢˇ,丨ㄢˋ,,,,,
0109,倘,ㄊㄤˇ,,,,,,
0110,俱,ㄐㄩˋ,,,,,,
0111,倡,ㄔㄤˋ,ㄔㄤ,,,,,
0112,個,ㄍㄜˋ,ㄍㄜˇ,,,,,
0113,俶,ㄔㄨˋ,,,,,,
0114,倗,ㄆㄥˊ,,,,,,
0115,倜,ㄊ丨ˋ,,,,,,
0116,倭,ㄨㄛ,,,,,,
0117,俾,ㄅ丨ˋ,,,,,,
0118,倉,ㄘㄤ,,,,,,
0119,健,ㄐ丨ㄢˋ,,,,,,
0120,假,ㄐ丨ㄚˇ,ㄐ丨ㄚˋ,,,,,
0121,偋,ㄅ丨ㄥˇ,,,,,,
0122,偪,ㄈㄨˊ,,,,,,
0123,偕,ㄒ丨ㄝˊ,,,,,,
0124,偞,丨ㄝˋ,,,,,,
0125,側,ㄘㄜˋ,,,,,,
0126,偈,ㄐ丨ㄝˊ,ㄐ丨ˋ,,,,,
0127,偲,ㄙ,ㄙㄞ,,,,,
0128,偵,ㄓㄣ,,,,,,
0129,偺,ㄗㄢˊ,,,,,,
0130,偽,ㄨㄟˋ,,,,,,
0131,傍,ㄅㄤˋ,ㄅㄤ,,,,,
0132,傅,ㄈㄨˋ,,,,,,
0133,傒,ㄒ丨,,,,,,
0134,傀,ㄎㄨㄟˇ,ㄍㄨㄟ,,,,,
0135,傖,ㄘㄤ,,,,,,
0136,傭,ㄩㄥ,,,,,,
0137,傳,ㄔㄨㄢˊ,ㄓㄨㄢˋ,,,,,
0138,僅,ㄐ丨ㄣˇ,,,,,,
0139,僇,ㄌㄨˋ,,,,,,
0140,僂,ㄌㄡˊ,,,,,,
0141,傾,ㄑ丨ㄥ,,,,,,
0142,僮,ㄊㄨㄥˊ,ㄓㄨㄤˋ,,,,,
0143,僎,ㄓㄨㄢˋ,,,,,,
0144,僝,ㄔㄢˊ,,,,,,
0145,僥,ㄐ丨ㄠˇ,丨ㄠˊ,,,,,
0146,僨,ㄈㄣˋ,,,,,,
0147,僚,ㄌ丨ㄠˊ,,,,,,
0148,僓,ㄊㄨㄟˇ,,,,,,
0149,僤,ㄉㄢˋ,,,,,,
0150,僬,ㄐ丨ㄠ,,,,,,
0151,儃,ㄔㄢˊ,ㄊㄢˇ,,,,,
0152,僻,ㄆ丨ˋ,,,,,,
0153,價,ㄐ丨ㄚˋ,,,,,,
0154,僸,ㄐ丨ㄣˋ,,,,,,
0155,儆,ㄐ丨ㄥˇ,,,,,,
0156,僾,ㄞˋ,,,,,,
0157,儌,ㄐ丨ㄠˇ,,,,,,
0158,儉,ㄐ丨ㄢˇ,,,,,,
0159,儐,ㄅ丨ㄣ,,,,,,
0160,儓,ㄊㄞˊ,,,,,,
0161,儗,ㄋ丨ˇ,,,,,,
0162,儑,ㄢˋ,,,,,,
0163,儥,ㄩˋ,,,,,,
0164,優,丨ㄡ,,,,,,
0165,儲,ㄔㄨˊ,,,,,,
0166,儳,ㄔㄢˊ,,,,,,
0167,儽,ㄌㄟˇ,,,,,,
0168,允,ㄩㄣˇ,,,,,,
0169,兄,ㄒㄩㄥ,,,,,,
0170,先,ㄒ丨ㄢ,,,,,,
0171,兌,ㄉㄨㄟˋ,ㄩㄝˋ,,,,,
0172,免,ㄇ丨ㄢˇ,,,,,,
0173,兒,ㄦˊ,ㄋ丨ˊ,,,,,
0174,入,ㄖㄨˋ,,,,,,
0175,內,ㄋㄟˋ,,,,,,
0176,兩,ㄌ丨ㄤˇ,,,,,,
0177,八,ㄅㄚ,,,,,,
0178,六,ㄌ丨ㄡˋ,ㄌㄨˋ,,,,,
0179,共,ㄍㄨㄥˋ,ㄍㄨㄥ,,,,,
0180,其,ㄑ丨ˊ,ㄐ丨,,,,,
0181,冊,ㄘㄜˋ,,,,,,
0182,冒,ㄇㄠˋ,ㄇㄛˋ,,,,,
0183,冘,丨ㄣˊ,,,,,,
0184,冠,ㄍㄨㄢ,ㄍㄨㄢˋ,,,,,
0185,冣,ㄐㄩˋ,ㄗㄨㄟˋ,,,,,
0186,冰,ㄅ丨ㄥ,,,,,,
0187,冷,ㄌㄥˇ,,,,,,
0188,凔,ㄔㄨㄤˋ,,,,,,
0189,凵,ㄎㄢˇ,,,,,,
0190,凹,ㄠ,,,,,,
0191,凸,ㄊㄨˊ,,,,,,
0192,函,ㄏㄢˊ,,,,,,
0193,切,ㄑ丨ㄝˋ,ㄑ丨ㄝ,,,,,
0194,分,ㄈㄣ,ㄈㄣˋ,,,,,
0195,刨,ㄆㄠˊ,ㄅㄠˋ,,,,,
0196,刻,ㄎㄜˋ,,,,,,
0197,刷,ㄕㄨㄚ,,,,,,
0198,刺,ㄘˋ,,,,,,
0199,刮,ㄍㄨㄚ,,,,,,
0200,剌,ㄌㄚˋ,ㄌㄚˊ,,,,,
