序號,字表別,大陸規範字,臺灣標準字一,臺灣標準字二,臺灣標準字三,臺灣標準字四
0106,一級字表,互,互,,,
0107,一級字表,切,切,,,
0108,一級字表,瓦,瓦,,,
0109,一級字表,止,止,,,
0110,一級字表,少,少,,,
0111,一級字表,曰,曰,,,
0112,一級字表,日,日,,,
0113,一級字表,中,中,,,
0114,一級字表,贝,貝,,,
0115,一級字表,冈,岡,,,
0116,一級字表,内,內,,,
0117,一級字表,水,水,,,
0118,一級字表,见,見,,,
0119,一級字表,午,午,,,
0120,一級字表,牛,牛,,,
0121,一級字表,手,手,,,
0122,一級字表,气,氣,气,,
0123,一級字表,毛,毛,,,
0124,一級字表,壬,壬,,,
0125,一級字表,升,升,(昇),陞,
0126,一級字表,夭,夭,,,
0127,一級字表,长,長,,,
0128,一級字表,仁,仁,,,
0129,一級字表,什,什,,,
0130,一級字表,片,片,,,
0131,一級字表,仆,僕,仆,,
0132,一級字表,化,化,,,
0133,一級字表,仇,仇,,,
0134,一級字表,币,幣,,,
0135,一級字表,仍,仍,,,
0136,一級字表,仅,僅,,,
0137,一級字表,斤,斤,,,
0138,一級字表,爪,爪,,,
0139,一級字表,反,反,,,
0140,一級字表,介,介,,,
0141,一級字表,父,父,,,
0142,一級字表,从,從,,,
0143,一級字表,仑,侖,,,
0144,一級字表,今,今,,,
0145,一級字表,凶,凶,兇,,
0146,一級字表,分,分,,,
0147,一級字表,乏,乏,,,
0148,一級字表,公,公,,,
0149,一級字表,仓,倉,,,
0150,一級字表,月,月,,,
0151,一級字表,氏,氏,,,
0152,一級字表,勿,勿,,,
0153,一級字表,欠,欠,,,
0154,一級字表,风,風,,,
0155,一級字表,丹,丹,,,
0156,一級字表,匀,勻,,,
0157,一級字表,乌,烏,,,
0158,一級字表,勾,勾,,,
0159,一級字表,凤,鳳,,,
0160,一級字表,六,六,,,
0161,一級字表,文,文,,,
0162,一級字表,亢,亢,,,
0163,一級字表,方,方,,,
0164,一級字表,火,火,,,
0165,一級字表,为,為,,,
0166,一級字表,斗,鬥,斗,,
0167,一級字表,忆,憶,,,
0168,一級字表,计,計,,,
0169,一級字表,订,訂,,,
0170,一級字表,户,戶,,,
0171,一級字表,认,認,,,
0172,一級字表,冗,冗,,,
0173,一級字表,讥,譏,,,
0174,一級字表,心,心,,,
0175,一級字表,尺,尺,,,
0176,一級字表,引,引,,,
0177,一級字表,丑,醜,丑,,
0178,一級字表,巴,巴,,,
0179,一級字表,孔,孔,,,
0180,一級字表,队,隊,,,
0181,一級字表,办,辦,,,
0182,一級字表,以,以,,,
0183,一級字表,允,允,,,
0184,一級字表,予,予,,,
0185,一級字表,邓,鄧,,,
0186,一級字表,劝,勸,,,
0187,一級字表,双,雙,,,
0188,一級字表,书,書,,,
0189,一級字表,幻,幻,,,
0190,一級字表,玉,玉,,,
0191,一級字表,刊,刊,,,
0192,一級字表,未,未,,,
0193,一級字表,末,末,,,
0194,一級字表,示,示,,,
0195,一級字表,击,擊,,,
0196,一級字表,打,打,,,
0197,一級字表,巧,巧,,,
0198,一級字表,正,正,,,
0199,一級字表,扑,撲,,,
0200,一級字表,卉,卉,,,
0201,一級字表,扒,扒,,,
0202,一級字表,功,功,,,
0203,一級字表,扔,扔,,,
0204,一級字表,去,去,,,
0205,一級字表,甘,甘,,,
0206,一級字表,世,世,,,
0207,一級字表,艾,艾,,,
0208,一級字表,古,古,,,
0209,一級字表,节,節,,,
0210,一級字表,本,本,,,
0211,一級字表,术,術,朮,,
0212,一級字表,可,可,,,
0213,一級字表,丙,丙,,,
0214,一級字表,左,左,,,
0215,一級字表,厉,厲,,,
0216,一級字表,石,石,,,
0217,一級字表,右,右,,,
0218,一級字表,布,布,佈,,
0219,一級字表,夯,夯,,,
0220,一級字表,戊,戊,,,
0221,一級字表,龙,龍,,,
0222,一級字表,平,平,,,
0223,一級字表,灭,滅,,,
0224,一級字表,轧,軋,,,
0225,一級字表,东,東,,,
0226,一級字表,卡,卡,,,
0227,一級字表,北,北,,,
0228,一級字表,占,占,佔,,
0229,一級字表,凸,凸,,,
0230,一級字表,卢,盧,,,
0231,一級字表,业,業,,,
0232,一級字表,旧,舊,,,
0233,一級字表,帅,帥,,,
0234,一級字表,归,歸,,,
0235,一級字表,旦,旦,,,
0236,一級字表,目,目,,,
0237,一級字表,且,且,,,
0238,一級字表,叶,葉,,,
0239,一級字表,甲,甲,,,
0240,一級字表,申,申,,,
0241,一級字表,叮,叮,,,
0242,一級字表,电,電,,,
0243,一級字表,号,號,,,
0244,一級字表,田,田,,,
0245,一級字表,由,由,,,
0246,一級字表,只,只,隻,,
0247,一級字表,叭,叭,,,
0248,一級字表,史,史,,,
0249,一級字表,央,央,,,
0250,一級字表,兄,兄,,,
0251,一級字表,叽,嘰,,,
0252,一級字表,叼,叼,,,
0253,一級字表,叫,叫,,,
0254,一級字表,叩,叩,,,
0255,一級字表,叨,叨,,,
0256,一級字表,另,另,,,
0257,一級字表,叹,歎,嘆,,
0258,一級字表,冉,冉,,,
0259,一級字表,皿,皿,,,
0260,一級字表,凹,凹,,,
0261,一級字表,囚,囚,,,
0262,一級字表,四,四,,,
0263,一級字表,生,生,,,
0264,一級字表,矢,矢,,,
0265,一級字表,失,失,,,
0266,一級字表,乍,乍,,,
0267,一級字表,禾,禾,,,
0268,一級字表,丘,丘,,,
0269,一級字表,付,付,,,
0270,一級字表,仗,仗,,,
0271,一級字表,代,代,,,
0272,一級字表,仙,仙,,,
0273,一級字表,们,們,,,
0274,一級字表,仪,儀,,,
0275,一級字表,白,白,,,
0276,一級字表,仔,仔,,,
0277,一級字表,他,他,,,
0278,一級字表,斥,斥,,,
0279,一級字表,瓜,瓜,,,
0280,一級字表,乎,乎,,,
0281,一級字表,丛,叢,,,
0282,一級字表,令,令,,,
0283,一級字表,用,用,,,
0284,一級字表,甩,甩,,,
0285,一級字表,印,印,,,
0286,一級字表,尔,爾,,,
0287,一級字表,乐,樂,,,
0288,一級字表,句,句,,,
0289,一級字表,匆,匆,,,
0290,一級字表,册,冊,,,
0291,一級字表,卯,卯,,,
0292,一級字表,犯,犯,,,
0293,一級字表,外,外,,,
0294,一級字表,处,處,,,
0295,一級字表,冬,冬,鼕,,
0296,一級字表,鸟,鳥,,,
0297,一級字表,务,務,,,
0298,一級字表,包,包,,,
0299,一級字表,饥,饑,飢,,
0300,一級字表,主,主,,,
0301,一級字表,市,市,,,
0302,一級字表,立,立,,,
0303,一級字表,冯,馮,,,
0304,一級字表,玄,玄,,,
0305,一級字表,闪,閃,,,
0306,一級字表,兰,蘭,,,
0307,一級字表,半,半,,,
0308,一級字表,汁,汁,,,
0309,一級字表,汇,匯,彙,,
0310,一級字表,头,頭,,,
0311,一級字表,汉,漢,,,
0312,一級字表,宁,寧,(甯),,
0313,一級字表,穴,穴,,,
0314,一級字表,它,它,牠,,
0315,一級字表,讨,討,,,
0316,一級字表,写,寫,,,
0317,一級字表,让,讓,,,
0318,一級字表,礼,禮,,,
0319,一級字表,训,訓,,,
0320,一級字表,议,議,,,
0321,一級字表,必,必,,,
0322,一級字表,讯,訊,,,
0323,一級字表,记,記,,,
0324,一級字表,永,永,,,
0325,一級字表,司,司,,,
0326,一級字表,尼,尼,,,
0327,一級字表,民,民,,,
0328,一級字表,弗,弗,,,
0329,一級字表,弘,弘,,,
0330,一級字表,出,出,齣,,
0331,一級字表,辽,遼,,,
0332,一級字表,奶,奶,嬭,,
0333,一級字表,奴,奴,,,
0334,一級字表,召,召,,,
0335,一級字表,加,加,,,
0336,一級字表,皮,皮,,,
0337,一級字表,边,邊,,,
0338,一級字表,孕,孕,,,
0339,一級字表,发,發,髮,,
0340,一級字表,圣,聖,,,
0341,一級字表,对,對,,,
0342,一級字表,台,台,臺,颱,檯
0343,一級字表,矛,矛,,,
0344,一級字表,纠,糾,,,
0345,一級字表,母,母,,,
0346,一級字表,幼,幼,,,
0347,一級字表,丝,絲,,,
0348,一級字表,邦,邦,,,
0349,一級字表,式,式,,,
0350,一級字表,迂,迂,,,
0351,一級字表,刑,刑,,,
0352,一級字表,戎,戎,,,
0353,一級字表,动,動,,,
0354,一級字表,扛,扛,摃,,
0355,一級字表,寺,寺,,,
0356,一級字表,吉,吉,,,
0357,一級字表,扣,扣,釦,,
0358,一級字表,考,考,,,
0359,一級字表,托,托,託,,
0360,一級字表,老,老,,,
0361,一級字表,巩,鞏,,,
0362,一級字表,圾,圾,,,
0363,一級字表,执,執,,,
0364,一級字表,扩,擴,,,
0365,一級字表,扫,掃,,,
0366,一級字表,地,地,,,
0367,一級字表,场,場,,,
0368,一級字表,扬,揚,颺,,
0369,一級字表,耳,耳,,,
0370,一級字表,芋,芋,,,
0371,一級字表,共,共,,,
0372,一級字表,芒,芒,,,
0373,一級字表,亚,亞,,,
0374,一級字表,芝,芝,,,
0375,一級字表,朽,朽,,,
0376,一級字表,朴,樸,朴,,
0377,一級字表,机,機,,,
0378,一級字表,权,權,,,
0379,一級字表,过,過,,,
0380,一級字表,臣,臣,,,
0381,一級字表,吏,吏,,,
0382,一級字表,再,再,,,
0383,一級字表,协,協,,,
0384,一級字表,西,西,,,
0385,一級字表,压,壓,,,
0386,一級字表,厌,厭,,,
0387,一級字表,戌,戌,,,
0388,一級字表,在,在,,,
0389,一級字表,百,百,,,
0390,一級字表,有,有,,,
0391,一級字表,存,存,,,
0392,一級字表,而,而,,,
0393,一級字表,页,頁,,,
0394,一級字表,匠,匠,,,
0395,一級字表,夸,誇,夸,,
0396,一級字表,夺,奪,,,
0397,一級字表,灰,灰,,,
0398,一級字表,达,達,,,
0399,一級字表,列,列,,,
0400,一級字表,死,死,,,
0401,一級字表,成,成,,,
0402,一級字表,夹,夾,(袷),裌,
0403,一級字表,夷,夷,,,
0404,一級字表,轨,軌,,,
0405,一級字表,邪,邪,,,
0406,一級字表,尧,堯,,,
0407,一級字表,划,劃,划,,
0408,一級字表,迈,邁,,,
0409,一級字表,毕,畢,,,
0410,一級字表,至,至,,,
0411,一級字表,此,此,,,
0412,一級字表,贞,貞,,,
0413,一級字表,师,師,,,
0414,一級字表,尘,塵,,,
0415,一級字表,尖,尖,,,
0416,一級字表,劣,劣,,,
0417,一級字表,光,光,,,
0418,一級字表,当,當,噹,,
0419,一級字表,早,早,,,
0420,一級字表,吁,籲,吁,訏,
0421,一級字表,吐,吐,,,
0422,一級字表,吓,嚇,,,
0423,一級字表,虫,蟲,,,
0424,一級字表,曲,曲,(麴),,
0425,一級字表,团,團,糰,,
0426,一級字表,吕,呂,,,
0427,一級字表,同,同,衕,,
0428,一級字表,吊,吊,弔,,
0429,一級字表,吃,吃,喫,,
0430,一級字表,因,因,,,
0431,一級字表,吸,吸,,,
0432,一級字表,吗,嗎,,,
0433,一級字表,吆,吆,,,
0434,一級字表,屿,嶼,,,
0435,一級字表,屹,屹,,,
0436,一級字表,岁,歲,,,
0437,一級字表,帆,帆,颿,,
0438,一級字表,回,回,,,
0439,一級字表,岂,豈,,,
0440,一級字表,则,則,,,
0441,一級字表,刚,剛,,,
0442,一級字表,网,網,,,
0443,一級字表,肉,肉,,,
0444,一級字表,年,年,,,
0445,一級字表,朱,朱,硃,,
0446,一級字表,先,先,,,
0447,一級字表,丢,丟,,,
0448,一級字表,廷,廷,,,
0449,一級字表,舌,舌,,,
0450,一級字表,竹,竹,,,
0451,一級字表,迁,遷,,,
0452,一級字表,乔,喬,,,
0453,一級字表,迄,迄,,,
0454,一級字表,伟,偉,,,
0455,一級字表,传,傳,,,
0456,一級字表,乒,乒,,,
0457,一級字表,乓,乓,,,
0458,一級字表,休,休,,,
0459,一級字表,伍,伍,,,
0460,一級字表,伏,伏,,,
0461,一級字表,优,優,,,
0462,一級字表,臼,臼,,,
0463,一級字表,伐,伐,,,
0464,一級字表,延,延,,,
0465,一級字表,仲,仲,,,
0466,一級字表,件,件,,,
0467,一級字表,任,任,,,
0468,一級字表,伤,傷,,,
0469,一級字表,价,價,价,,
0470,一級字表,伦,倫,,,
0471,一級字表,份,份,,,
0472,一級字表,华,華,,,
0473,一級字表,仰,仰,,,
0474,一級字表,仿,仿,倣,,
0475,一級字表,伙,夥,伙,,
0476,一級字表,伪,偽,,,
0477,一級字表,自,自,,,
0478,一級字表,伊,伊,,,
0479,一級字表,血,血,,,
0480,一級字表,向,向,嚮,,
0481,一級字表,似,似,,,
0482,一級字表,后,後,后,,
0483,一級字表,行,行,,,
0484,一級字表,舟,舟,,,
0485,一級字表,全,全,,,
0486,一級字表,会,會,,,
0487,一級字表,杀,殺,,,
0488,一級字表,合,合,閤,,
0489,一級字表,兆,兆,,,
0490,一級字表,企,企,,,
0491,一級字表,众,眾,,,
0492,一級字表,爷,爺,,,
0493,一級字表,伞,傘,,,
0494,一級字表,创,創,,,
0495,一級字表,肌,肌,,,
0496,一級字表,肋,肋,,,
0497,一級字表,朵,朵,,,
0498,一級字表,杂,雜,,,
0499,一級字表,危,危,,,
0500,一級字表,旬,旬,,,
0501,一級字表,旨,旨,,,
0502,一級字表,旭,旭,,,
0503,一級字表,负,負,,,
0504,一級字表,匈,匈,,,
0505,一級字表,名,名,,,
0506,一級字表,各,各,,,
0507,一級字表,多,多,,,
0508,一級字表,争,爭,,,
0509,一級字表,色,色,,,
0510,一級字表,壮,壯,,,
0511,一級字表,冲,沖,衝,,
0512,一級字表,妆,妝,,,
0513,一級字表,冰,冰,,,
0514,一級字表,庄,莊,庄,,
0515,一級字表,庆,慶,,,
0516,一級字表,亦,亦,,,
0517,一級字表,刘,劉,,,
0518,一級字表,齐,齊,,,
0519,一級字表,交,交,,,
0520,一級字表,衣,衣,,,
0521,一級字表,次,次,,,
0522,一級字表,产,產,,,
0523,一級字表,决,決,,,
0524,一級字表,亥,亥,,,
0525,一級字表,充,充,,,
0526,一級字表,妄,妄,,,
0527,一級字表,闭,閉,,,
0528,一級字表,问,問,,,
0529,一級字表,闯,闖,,,
0530,一級字表,羊,羊,,,
0531,一級字表,并,並,并,併,
0532,一級字表,关,關,,,
0533,一級字表,米,米,,,
0534,一級字表,灯,燈,,,
0535,一級字表,州,州,,,
0536,一級字表,汗,汗,,,
0537,一級字表,污,汙,,,
0538,一級字表,江,江,,,
0539,一級字表,汛,汛,,,
0540,一級字表,池,池,,,
0541,一級字表,汝,汝,,,
0542,一級字表,汤,湯,,,
0543,一級字表,忙,忙,,,
0544,一級字表,兴,興,,,
0545,一級字表,宇,宇,,,
0546,一級字表,守,守,,,
0547,一級字表,宅,宅,,,
0548,一級字表,字,字,,,
0549,一級字表,安,安,,,
0550,一級字表,讲,講,,,
0551,一級字表,讳,諱,,,
0552,一級字表,军,軍,,,
0553,一級字表,讶,訝,,,
0554,一級字表,许,許,,,
0555,一級字表,讹,訛,,,
0556,一級字表,论,論,,,
0557,一級字表,讼,訟,,,
0558,一級字表,农,農,,,
0559,一級字表,讽,諷,,,
0560,一級字表,设,設,,,
0561,一級字表,访,訪,,,
0562,一級字表,诀,訣,,,
0563,一級字表,寻,尋,,,
0564,一級字表,那,那,,,
0565,一級字表,迅,迅,,,
0566,一級字表,尽,盡,儘,,
0567,一級字表,导,導,,,
0568,一級字表,异,異,,,
0569,一級字表,弛,弛,,,
0570,一級字表,孙,孫,,,
0571,一級字表,阵,陣,,,
0572,一級字表,阳,陽,,,
0573,一級字表,收,收,,,
0574,一級字表,阶,階,,,
0575,一級字表,阴,陰,,,
0576,一級字表,防,防,,,
0577,一級字表,奸,奸,姦,,
0578,一級字表,如,如,,,
0579,一級字表,妇,婦,,,
0580,一級字表,妃,妃,,,
0581,一級字表,好,好,,,
0582,一級字表,她,她,,,
0583,一級字表,妈,媽,,,
0584,一級字表,戏,戲,,,
0585,一級字表,羽,羽,,,
0586,一級字表,观,觀,,,
0587,一級字表,欢,歡,懽,,
0588,一級字表,买,買,,,
0589,一級字表,红,紅,,,
0590,一級字表,驮,馱,,,
0591,一級字表,纤,纖,縴,,
0592,一級字表,驯,馴,,,
0593,一級字表,约,約,,,
0594,一級字表,级,級,,,
0595,一級字表,纪,紀,,,
0596,一級字表,驰,馳,,,
0597,一級字表,纫,紉,,,
0598,一級字表,巡,巡,,,
0599,一級字表,寿,壽,,,
