序號,字表別,大陸規範字,臺灣標準字一,臺灣標準字二,臺灣標準字三,臺灣標準字四
1909,一級字表,恩,恩,,,
1910,一級字表,鸯,鴦,,,
1911,一級字表,唤,喚,,,
1912,一級字表,唁,唁,,,
1913,一級字表,哼,哼,,,
1914,一級字表,唧,唧,,,
1915,一級字表,啊,啊,,,
1916,一級字表,唉,唉,,,
1917,一級字表,唆,唆,,,
1918,一級字表,罢,罷,,,
1919,一級字表,峭,峭,,,
1920,一級字表,峨,峨,,,
1921,一級字表,峰,峰,,,
1922,一級字表,圆,圓,,,
1923,一級字表,峻,峻,,,
1924,一級字表,贼,賊,,,
1925,一級字表,贿,賄,,,
1926,一級字表,赂,賂,,,
1927,一級字表,赃,贓,,,
1928,一級字表,钱,錢,,,
1929,一級字表,钳,鉗,,,
1930,一級字表,钻,鑽,,,
1931,一級字表,钾,鉀,,,
1932,一級字表,铁,鐵,,,
1933,一級字表,铃,鈴,,,
1934,一級字表,铅,鉛,,,
1935,一級字表,缺,缺,,,
1936,一級字表,氧,氧,,,
1937,一級字表,氨,氨,,,
1938,一級字表,特,特,,,
1939,一級字表,牺,犧,,,
1940,一級字表,造,造,,,
1941,一級字表,乘,乘,,,
1942,一級字表,敌,敵,,,
1943,一級字表,秤,秤,,,
1944,一級字表,租,租,,,
1945,一級字表,积,積,,,
1946,一級字表,秧,秧,,,
1947,一級字表,秩,秩,,,
1948,一級字表,称,稱,,,
1949,一級字表,秘,秘,,,
1950,一級字表,透,透,,,
1951,一級字表,笔,筆,,,
1952,一級字表,笑,笑,,,
1953,一級字表,笋,筍,,,
1954,一級字表,债,債,,,
1955,一級字表,借,借,(藉),,
1956,一級字表,值,值,,,
1957,一級字表,倚,倚,,,
1958,一級字表,俺,俺,,,
1959,一級字表,倾,傾,,,
1960,一級字表,倒,倒,,,
1961,一級字表,倘,倘,,,
1962,一級字表,俱,俱,,,
1963,一級字表,倡,倡,,,
1964,一級字表,候,候,,,
1965,一級字表,赁,賃,,,
1966,一級字表,俯,俯,,,
1967,一級字表,倍,倍,,,
1968,一級字表,倦,倦,,,
1969,一級字表,健,健,,,
1970,一級字表,臭,臭,,,
1971,一級字表,射,射,,,
1972,一級字表,躬,躬,,,
1973,一級字表,息,息,,,
1974,一級字表,倔,倔,,,
1975,一級字表,徒,徒,,,
1976,一級字表,徐,徐,,,
1977,一級字表,殷,殷,,,
1978,一級字表,舰,艦,,,
1979,一級字表,舱,艙,,,
1980,一級字表,般,般,,,
1981,一級字表,航,航,,,
1982,一級字表,途,途,,,
1983,一級字表,拿,拿,,,
1984,一級字表,耸,聳,,,
1985,一級字表,爹,爹,,,
1986,一級字表,舀,舀,,,
1987,一級字表,爱,愛,,,
1988,一級字表,豺,豺,,,
1989,一級字表,豹,豹,,,
1990,一級字表,颁,頒,,,
1991,一級字表,颂,頌,,,
1992,一級字表,翁,翁,,,
1993,一級字表,胰,胰,,,
1994,一級字表,脆,脆,,,
1995,一級字表,脂,脂,,,
1996,一級字表,胸,胸,,,
1997,一級字表,胳,胳,,,
1998,一級字表,脏,髒,臟,,
1999,一級字表,脐,臍,,,
2000,一級字表,胶,膠,,,
2001,一級字表,脑,腦,,,
2002,一級字表,脓,膿,,,
2003,一級字表,逛,逛,,,
2004,一級字表,狸,狸,貍,,
2005,一級字表,狼,狼,,,
2006,一級字表,卿,卿,,,
2007,一級字表,逢,逢,,,
2008,一級字表,鸵,鴕,,,
2009,一級字表,留,留,,,
2010,一級字表,鸳,鴛,,,
2011,一級字表,皱,皺,,,
2012,一級字表,饿,餓,,,
2013,一級字表,馁,餒,,,
2014,一級字表,凌,淩,,,
2015,一級字表,凄,淒,悽,凄,
2016,一級字表,恋,戀,,,
2017,一級字表,桨,槳,,,
2018,一級字表,浆,漿,,,
2019,一級字表,衰,衰,,,
2020,一級字表,衷,衷,,,
2021,一級字表,高,高,,,
2022,一級字表,郭,郭,,,
2023,一級字表,席,席,,,
2024,一級字表,准,准,準,,
2025,一級字表,座,座,,,
2026,一級字表,症,症,癥,,
2027,一級字表,病,病,,,
2028,一級字表,疾,疾,,,
2029,一級字表,斋,齋,,,
2030,一級字表,疹,疹,,,
2031,一級字表,疼,疼,,,
2032,一級字表,疲,疲,,,
2033,一級字表,脊,脊,,,
2034,一級字表,效,效,傚,,
2035,一級字表,离,離,,,
2036,一級字表,紊,紊,,,
2037,一級字表,唐,唐,,,
2038,一級字表,瓷,瓷,,,
2039,一級字表,资,資,,,
2040,一級字表,凉,涼,,,
2041,一級字表,站,站,,,
2042,一級字表,剖,剖,,,
2043,一級字表,竞,競,,,
2044,一級字表,部,部,,,
2045,一級字表,旁,旁,,,
2046,一級字表,旅,旅,,,
2047,一級字表,畜,畜,,,
2048,一級字表,阅,閱,,,
2049,一級字表,羞,羞,,,
2050,一級字表,羔,羔,,,
2051,一級字表,瓶,瓶,,,
2052,一級字表,拳,拳,,,
2053,一級字表,粉,粉,,,
2054,一級字表,料,料,,,
2055,一級字表,益,益,,,
2056,一級字表,兼,兼,,,
2057,一級字表,烤,烤,,,
2058,一級字表,烘,烘,,,
2059,一級字表,烦,煩,,,
2060,一級字表,烧,燒,,,
2061,一級字表,烛,燭,,,
2062,一級字表,烟,煙,菸,,
2063,一級字表,烙,烙,,,
2064,一級字表,递,遞,,,
2065,一級字表,涛,濤,,,
2066,一級字表,浙,浙,,,
2067,一級字表,涝,澇,,,
2068,一級字表,浦,浦,,,
2069,一級字表,酒,酒,,,
2070,一級字表,涉,涉,,,
2071,一級字表,消,消,,,
2072,一級字表,涡,渦,,,
2073,一級字表,浩,浩,,,
2074,一級字表,海,海,,,
2075,一級字表,涂,塗,涂,,
2076,一級字表,浴,浴,,,
2077,一級字表,浮,浮,,,
2078,一級字表,涣,渙,,,
2079,一級字表,涤,滌,,,
2080,一級字表,流,流,,,
2081,一級字表,润,潤,,,
2082,一級字表,涧,澗,,,
2083,一級字表,涕,涕,,,
2084,一級字表,浪,浪,,,
2085,一級字表,浸,浸,,,
2086,一級字表,涨,漲,,,
2087,一級字表,烫,燙,,,
2088,一級字表,涩,澀,濇,,
2089,一級字表,涌,湧,涌,,
2090,一級字表,悖,悖,,,
2091,一級字表,悟,悟,,,
2092,一級字表,悄,悄,,,
2093,一級字表,悍,悍,,,
2094,一級字表,悔,悔,,,
2095,一級字表,悯,憫,,,
2096,一級字表,悦,悅,,,
2097,一級字表,害,害,,,
2098,一級字表,宽,寬,,,
2099,一級字表,家,家,傢,,
2100,一級字表,宵,宵,,,
2101,一級字表,宴,宴,醼,,
2102,一級字表,宾,賓,,,
2103,一級字表,窍,竅,,,
2104,一級字表,窄,窄,,,
2105,一級字表,容,容,,,
2106,一級字表,宰,宰,,,
2107,一級字表,案,案,,,
2108,一級字表,请,請,,,
2109,一級字表,朗,朗,,,
2110,一級字表,诸,諸,,,
2111,一級字表,诺,諾,,,
2112,一級字表,读,讀,,,
2113,一級字表,扇,扇,,,
2114,一級字表,诽,誹,,,
2115,一級字表,袜,襪,,,
2116,一級字表,袖,袖,,,
2117,一級字表,袍,袍,,,
2118,一級字表,被,被,,,
2119,一級字表,祥,祥,,,
2120,一級字表,课,課,,,
2121,一級字表,冥,冥,,,
2122,一級字表,谁,誰,,,
2123,一級字表,调,調,,,
2124,一級字表,冤,冤,,,
2125,一級字表,谅,諒,,,
2126,一級字表,谆,諄,,,
2127,一級字表,谈,談,,,
2128,一級字表,谊,誼,,,
2129,一級字表,剥,剝,,,
2130,一級字表,恳,懇,,,
2131,一級字表,展,展,,,
2132,一級字表,剧,劇,,,
2133,一級字表,屑,屑,,,
2134,一級字表,弱,弱,,,
2135,一級字表,陵,陵,,,
2136,一級字表,祟,祟,,,
2137,一級字表,陶,陶,,,
2138,一級字表,陷,陷,,,
2139,一級字表,陪,陪,,,
2140,一級字表,娱,娛,,,
2141,一級字表,娟,娟,,,
2142,一級字表,恕,恕,,,
2143,一級字表,娥,娥,,,
2144,一級字表,娘,娘,孃,,
2145,一級字表,通,通,,,
2146,一級字表,能,能,,,
2147,一級字表,难,難,,,
2148,一級字表,预,預,,,
2149,一級字表,桑,桑,,,
2150,一級字表,绢,絹,,,
2151,一級字表,绣,繡,,,
2152,一級字表,验,驗,,,
2153,一級字表,继,繼,,,
2154,一級字表,骏,駿,,,
2155,一級字表,球,球, 毬 ,,
2156,一級字表,琐,瑣,,,
2157,一級字表,理,理,,,
2158,一級字表,琉,琉,,,
2159,一級字表,琅,琅,瑯,,
2160,一級字表,捧,捧,,,
2161,一級字表,堵,堵,,,
2162,一級字表,措,措,,,
2163,一級字表,描,描,,,
2164,一級字表,域,域,,,
2165,一級字表,捺,捺,,,
2166,一級字表,掩,掩,,,
2167,一級字表,捷,捷,,,
2168,一級字表,排,排,,,
2169,一級字表,焉,焉,,,
2170,一級字表,掉,掉,,,
2171,一級字表,捶,捶,,,
2172,一級字表,赦,赦,,,
2173,一級字表,堆,堆,,,
2174,一級字表,推,推,,,
2175,一級字表,埠,埠,,,
2176,一級字表,掀,掀,,,
2177,一級字表,授,授,,,
2178,一級字表,捻,撚,,,
2179,一級字表,教,教,,,
2180,一級字表,掏,掏,,,
2181,一級字表,掐,掐,,,
2182,一級字表,掠,掠,,,
2183,一級字表,掂,掂,,,
2184,一級字表,培,培,,,
2185,一級字表,接,接,,,
2186,一級字表,掷,擲,,,
2187,一級字表,控,控,,,
2188,一級字表,探,探,,,
2189,一級字表,据,據,据,,
2190,一級字表,掘,掘,,,
2191,一級字表,掺,摻,,,
2192,一級字表,职,職,,,
2193,一級字表,基,基,,,
2194,一級字表,聆,聆,,,
2195,一級字表,勘,勘,,,
2196,一級字表,聊,聊,,,
2197,一級字表,娶,娶,,,
2198,一級字表,著,著,,,
2199,一級字表,菱,菱,,,
2200,一級字表,勒,勒,,,
2201,一級字表,黄,黃,,,
2202,一級字表,菲,菲,,,
2203,一級字表,萌,萌,,,
2204,一級字表,萝,蘿,,,
2205,一級字表,菌,菌,,,
2206,一級字表,萎,萎,,,
2207,一級字表,菜,菜,,,
2208,一級字表,萄,萄,,,
2209,一級字表,菊,菊,,,
2210,一級字表,菩,菩,,,
2211,一級字表,萍,萍,,,
2212,一級字表,菠,菠,,,
2213,一級字表,萤,螢,,,
2214,一級字表,营,營,,,
2215,一級字表,乾,乾,,,
2216,一級字表,萧,蕭,,,
2217,一級字表,萨,薩,,,
2218,一級字表,菇,菇,,,
2219,一級字表,械,械,,,
2220,一級字表,彬,彬,,,
2221,一級字表,梦,夢,,,
2222,一級字表,婪,婪,,,
2223,一級字表,梗,梗,,,
2224,一級字表,梧,梧,,,
2225,一級字表,梢,梢,,,
2226,一級字表,梅,梅,,,
2227,一級字表,检,檢,,,
2228,一級字表,梳,梳,,,
2229,一級字表,梯,梯,,,
2230,一級字表,桶,桶,,,
2231,一級字表,梭,梭,,,
2232,一級字表,救,救,,,
2233,一級字表,曹,曹,,,
2234,一級字表,副,副,,,
2235,一級字表,票,票,,,
2236,一級字表,酝,醞,,,
2237,一級字表,酗,酗,,,
2238,一級字表,厢,廂,,,
2239,一級字表,戚,戚,慼,,
2240,一級字表,硅,矽,,,
2241,一級字表,硕,碩,,,
2242,一級字表,奢,奢,,,
2243,一級字表,盔,盔,,,
2244,一級字表,爽,爽,,,
2245,一級字表,聋,聾,,,
2246,一級字表,袭,襲,,,
2247,一級字表,盛,盛,,,
2248,一級字表,匾,匾,,,
2249,一級字表,雪,雪,,,
2250,一級字表,辅,輔,,,
2251,一級字表,辆,輛,,,
2252,一級字表,颅,顱,,,
2253,一級字表,虚,虛,,,
2254,一級字表,彪,彪,,,
2255,一級字表,雀,雀,,,
2256,一級字表,堂,堂,,,
2257,一級字表,常,常,,,
2258,一級字表,眶,眶,,,
2259,一級字表,匙,匙,,,
2260,一級字表,晨,晨,,,
2261,一級字表,睁,睜,,,
2262,一級字表,眯,眯,瞇,,
2263,一級字表,眼,眼,,,
2264,一級字表,悬,懸,,,
2265,一級字表,野,野,,,
2266,一級字表,啪,啪,,,
2267,一級字表,啦,啦,,,
2268,一級字表,曼,曼,,,
2269,一級字表,晦,晦,,,
2270,一級字表,晚,晚,,,
2271,一級字表,啄,啄,,,
2272,一級字表,啡,啡,,,
2273,一級字表,距,距,,,
2274,一級字表,趾,趾,,,
2275,一級字表,啃,啃,,,
2276,一級字表,跃,躍,,,
2277,一級字表,略,略,,,
2278,一級字表,蚯,蚯,,,
2279,一級字表,蛀,蛀,,,
2280,一級字表,蛇,蛇,,,
2281,一級字表,唬,唬,,,
2282,一級字表,累,累,纍,,
2283,一級字表,鄂,鄂,,,
2284,一級字表,唱,唱,,,
2285,一級字表,患,患,,,
2286,一級字表,啰,囉,,,
2287,一級字表,唾,唾,,,
2288,一級字表,唯,唯,,,
2289,一級字表,啤,啤,,,
2290,一級字表,啥,啥,,,
2291,一級字表,啸,嘯,,,
2292,一級字表,崖,崖,,,
2293,一級字表,崎,崎,,,
2294,一級字表,崭,嶄,,,
2295,一級字表,逻,邏,,,
2296,一級字表,崔,崔,,,
2297,一級字表,帷,帷,,,
2298,一級字表,崩,崩,,,
2299,一級字表,崇,崇,,,
2300,一級字表,崛,崛,,,
2301,一級字表,婴,嬰,,,
2302,一級字表,圈,圈,,,
2303,一級字表,铐,銬,,,
2304,一級字表,铛,鐺,,,
2305,一級字表,铝,鋁,,,
2306,一級字表,铜,銅,,,
2307,一級字表,铭,銘,,,
2308,一級字表,铲,鏟,,,
2309,一級字表,银,銀,,,
2310,一級字表,矫,矯,,,
2311,一級字表,甜,甜,,,
2312,一級字表,秸,秸,,,
2313,一級字表,梨,梨,,,
2314,一級字表,犁,犁,,,
2315,一級字表,秽,穢,,,
2316,一級字表,移,移,,,
2317,一級字表,笨,笨,,,
2318,一級字表,笼,籠,,,
2319,一級字表,笛,笛,,,
2320,一級字表,笙,笙,,,
2321,一級字表,符,符,,,
2322,一級字表,第,第,,,
2323,一級字表,敏,敏,,,
2324,一級字表,做,做,,,
2325,一級字表,袋,袋,,,
2326,一級字表,悠,悠,,,
2327,一級字表,偿,償,,,
2328,一級字表,偶,偶,,,
2329,一級字表,偎,偎,,,
2330,一級字表,偷,偷,(媮),,
2331,一級字表,您,您,,,
2332,一級字表,售,售,,,
2333,一級字表,停,停,,,
2334,一級字表,偏,偏,,,
2335,一級字表,躯,軀,,,
2336,一級字表,兜,兜,,,
2337,一級字表,假,假,,,
2338,一級字表,衅,釁,,,
2339,一級字表,徘,徘,,,
2340,一級字表,徙,徙,,,
2341,一級字表,得,得,,,
2342,一級字表,衔,銜,啣,,
2343,一級字表,盘,盤,,,
2344,一級字表,舶,舶,,,
2345,一級字表,船,船,,,
2346,一級字表,舵,舵,,,
2347,一級字表,斜,斜,,,
2348,一級字表,盒,盒,,,
2349,一級字表,鸽,鴿,,,
2350,一級字表,敛,斂,歛,,
2351,一級字表,悉,悉,,,
2352,一級字表,欲,欲,慾,,
2353,一級字表,彩,彩,綵,,
2354,一級字表,领,領,,,
2355,一級字表,脚,腳,,,
2356,一級字表,脖,脖,,,
2357,一級字表,脯,脯,,,
2358,一級字表,豚,豚,,,
2359,一級字表,脸,臉,,,
2360,一級字表,脱,脫,,,
2361,一級字表,象,象,,,
2362,一級字表,够,夠,,,
2363,一級字表,逸,逸,,,
2364,一級字表,猜,猜,,,
2365,一級字表,猪,豬,,,
2366,一級字表,猎,獵,,,
2367,一級字表,猫,貓,,,
2368,一級字表,凰,凰,,,
2369,一級字表,猖,猖,,,
2370,一級字表,猛,猛,,,
2371,一級字表,祭,祭,,,
2372,一級字表,馅,餡,,,
2373,一級字表,馆,館,,,
2374,一級字表,凑,湊,,,
2375,一級字表,减,減,,,
2376,一級字表,毫,毫,,,
2377,一級字表,烹,烹,,,
2378,一級字表,庶,庶,,,
2379,一級字表,麻,麻,,,
2380,一級字表,庵,庵,,,
2381,一級字表,痊,痊,,,
2382,一級字表,痒,癢,,,
2383,一級字表,痕,痕,,,
2384,一級字表,廊,廊,,,
2385,一級字表,康,康,,,
2386,一級字表,庸,庸,,,
2387,一級字表,鹿,鹿,,,
2388,一級字表,盗,盜,,,
2389,一級字表,章,章,,,
2390,一級字表,竟,竟,,,
2391,一級字表,商,商,,,
2392,一級字表,族,族,,,
2393,一級字表,旋,旋,鏇,,
2394,一級字表,望,望,,,
2395,一級字表,率,率,,,
2396,一級字表,阎,閻,,,
2397,一級字表,阐,闡,,,
2398,一級字表,着,著,,,
2399,一級字表,羚,羚,,,
2400,一級字表,盖,蓋,,,
2401,一級字表,眷,眷,睠,,
2402,一級字表,粘,粘,,,
2403,一級字表,粗,粗,,,
2404,一級字表,粒,粒,,,
2405,一級字表,断,斷,,,
2406,一級字表,剪,剪,,,
2407,一級字表,兽,獸,,,
2408,一級字表,焊,焊,銲,,
2409,一級字表,焕,煥,,,
2410,一級字表,清,清,,,
2411,一級字表,添,添,,,
2412,一級字表,鸿,鴻,,,
2413,一級字表,淋,淋,,,
2414,一級字表,涯,涯,,,
2415,一級字表,淹,淹,,,
2416,一級字表,渠,渠,,,
2417,一級字表,渐,漸,,,
2418,一級字表,淑,淑,,,
2419,一級字表,淌,淌,,,
2420,一級字表,混,混,,,
2421,一級字表,淮,淮,,,
2422,一級字表,淆,淆,(殽),,
2423,一級字表,渊,淵,,,
2424,一級字表,淫,淫,,,
2425,一級字表,渔,漁,,,
2426,一級字表,淘,淘,,,
2427,一級字表,淳,淳,,,
2428,一級字表,液,液,,,
2429,一級字表,淤,淤,,,
2430,一級字表,淡,淡,,,
2431,一級字表,淀,澱,淀,,
2432,一級字表,深,深,,,
2433,一級字表,涮,涮,,,
2434,一級字表,涵,涵,,,
2435,一級字表,婆,婆,,,
2436,一級字表,梁,梁,,,
2437,一級字表,渗,滲,,,
2438,一級字表,情,情,,,
2439,一級字表,惜,惜,,,
2440,一級字表,惭,慚,,,
2441,一級字表,悼,悼,,,
2442,一級字表,惧,懼,,,
2443,一級字表,惕,惕,,,
2444,一級字表,惟,惟,,,
2445,一級字表,惊,驚,,,
2446,一級字表,惦,惦,,,
2447,一級字表,悴,悴,,,
2448,一級字表,惋,惋,,,
2449,一級字表,惨,慘,,,
2450,一級字表,惯,慣,,,
2451,一級字表,寇,寇,,,
2452,一級字表,寅,寅,,,
2453,一級字表,寄,寄,,,
2454,一級字表,寂,寂,,,
2455,一級字表,宿,宿,,,
2456,一級字表,窒,窒,,,
2457,一級字表,窑,窯,,,
2458,一級字表,密,密,,,
2459,一級字表,谋,謀,,,
2460,一級字表,谍,諜,,,
2461,一級字表,谎,謊,,,
2462,一級字表,谐,諧,,,
2463,一級字表,袱,袱,,,
2464,一級字表,祷,禱,,,
2465,一級字表,祸,禍,,,
2466,一級字表,谓,謂,,,
2467,一級字表,谚,諺,,,
2468,一級字表,谜,謎,,,
2469,一級字表,逮,逮,,,
2470,一級字表,敢,敢,,,
2471,一級字表,尉,尉,,,
2472,一級字表,屠,屠,,,
2473,一級字表,弹,彈,,,
2474,一級字表,隋,隋,,,
2475,一級字表,堕,墮,,,
2476,一級字表,随,隨,,,
2477,一級字表,蛋,蛋,,,
2478,一級字表,隅,隅,,,
2479,一級字表,隆,隆,,,
2480,一級字表,隐,隱,,,
2481,一級字表,婚,婚,,,
2482,一級字表,婶,嬸,,,
2483,一級字表,婉,婉,,,
2484,一級字表,颇,頗,,,
2485,一級字表,颈,頸,,,
2486,一級字表,绩,績,,,
2487,一級字表,绪,緒,,,
2488,一級字表,续,續,,,
2489,一級字表,骑,騎,,,
2490,一級字表,绰,綽,,,
2491,一級字表,绳,繩,,,
2492,一級字表,维,維,,,
2493,一級字表,绵,綿,,,
2494,一級字表,绷,繃,,,
2495,一級字表,绸,綢,,,
2496,一級字表,综,綜,,,
2497,一級字表,绽,綻,,,
2498,一級字表,绿,綠,,,
2499,一級字表,缀,綴,,,
2500,一級字表,巢,巢,,,
2501,一級字表,琴,琴,,,
2502,一級字表,琳,琳,,,
2503,一級字表,琢,琢,,,
2504,一級字表,琼,瓊,,,
2505,一級字表,斑,斑,,,
2506,一級字表,替,替,,,
2507,一級字表,揍,揍,,,
2508,一級字表,款,款,,,
2509,一級字表,堪,堪,,,
2510,一級字表,塔,塔,,,
2511,一級字表,搭,搭,,,
2512,一級字表,堰,堰,,,
2513,一級字表,揩,揩,,,
2514,一級字表,越,越,,,
2515,一級字表,趁,趁,,,
2516,一級字表,趋,趨,,,
2517,一級字表,超,超,,,
2518,一級字表,揽,攬,,,
2519,一級字表,堤,堤,,,
2520,一級字表,提,提,,,
2521,一級字表,博,博,,,
2522,一級字表,揭,揭,,,
2523,一級字表,喜,喜,,,
2524,一級字表,彭,彭,,,
2525,一級字表,揣,揣,,,
2526,一級字表,插,插,,,
2527,一級字表,揪,揪,,,
2528,一級字表,搜,搜,,,
2529,一級字表,煮,煮,,,
2530,一級字表,援,援,,,
2531,一級字表,搀,攙,,,
2532,一級字表,裁,裁,,,
2533,一級字表,搁,擱,,,
2534,一級字表,搓,搓,,,
2535,一級字表,搂,摟,,,
2536,一級字表,搅,攪,,,
2537,一級字表,壹,壹,,,
2538,一級字表,握,握,,,
2539,一級字表,搔,搔,,,
2540,一級字表,揉,揉,,,
2541,一級字表,斯,斯,,,
2542,一級字表,期,期,,,
2543,一級字表,欺,欺,,,
2544,一級字表,联,聯,,,
2545,一級字表,葫,葫,,,
2546,一級字表,散,散,,,
2547,一級字表,惹,惹,,,
2548,一級字表,葬,葬,,,
2549,一級字表,募,募,,,
2550,一級字表,葛,葛,,,
2551,一級字表,董,董,,,
2552,一級字表,葡,葡,,,
2553,一級字表,敬,敬,,,
2554,一級字表,葱,蔥,,,
2555,一級字表,蒋,蔣,,,
2556,一級字表,蒂,蒂,,,
2557,一級字表,落,落,,,
2558,一級字表,韩,韓,,,
2559,一級字表,朝,朝,,,
2560,一級字表,辜,辜,,,
2561,一級字表,葵,葵,,,
2562,一級字表,棒,棒,,,
2563,一級字表,棱,棱,,,
2564,一級字表,棋,棋,,,
2565,一級字表,椰,椰,,,
2566,一級字表,植,植,,,
2567,一級字表,森,森,,,
2568,一級字表,焚,焚,,,
2569,一級字表,椅,椅,,,
2570,一級字表,椒,椒,,,
2571,一級字表,棵,棵,,,
2572,一級字表,棍,棍,,,
2573,一級字表,椎,椎,,,
2574,一級字表,棉,棉,,,
2575,一級字表,棚,棚,,,
2576,一級字表,棕,棕,,,
2577,一級字表,棺,棺,,,
2578,一級字表,榔,榔,,,
2579,一級字表,椭,橢,,,
2580,一級字表,惠,惠,,,
2581,一級字表,惑,惑,,,
2582,一級字表,逼,逼,,,
2583,一級字表,粟,粟,,,
2584,一級字表,棘,棘,,,
2585,一級字表,酣,酣,,,
2586,一級字表,酥,酥,,,
2587,一級字表,厨,廚,,,
2588,一級字表,厦,廈,,,
2589,一級字表,硬,硬,,,
2590,一級字表,硝,硝,,,
2591,一級字表,确,確,,,
2592,一級字表,硫,硫,,,
2593,一級字表,雁,雁,,,
2594,一級字表,殖,殖,,,
2595,一級字表,裂,裂,,,
2596,一級字表,雄,雄,,,
2597,一級字表,颊,頰,,,
2598,一級字表,雳,靂,,,
2599,一級字表,暂,暫,,,
2600,一級字表,雅,雅,,,
2601,一級字表,翘,翹,,,
2602,一級字表,辈,輩,,,
2603,一級字表,悲,悲,,,
2604,一級字表,紫,紫,,,
2605,一級字表,凿,鑿,,,
2606,一級字表,辉,輝,,,
2607,一級字表,敞,敞,,,
2608,一級字表,棠,棠,,,
2609,一級字表,赏,賞,,,
2610,一級字表,掌,掌,,,
2611,一級字表,晴,晴,,,
2612,一級字表,睐,睞,,,
2613,一級字表,暑,暑,,,
2614,一級字表,最,最,,,
2615,一級字表,晰,晰,,,
2616,一級字表,量,量,,,
2617,一級字表,鼎,鼎,,,
2618,一級字表,喷,噴,,,
2619,一級字表,喳,喳,,,
2620,一級字表,晶,晶,,,
2621,一級字表,喇,喇,,,
2622,一級字表,遇,遇,,,
2623,一級字表,喊,喊,,,
2624,一級字表,遏,遏,,,
2625,一級字表,晾,晾,,,
2626,一級字表,景,景,,,
2627,一級字表,畴,疇,,,
2628,一級字表,践,踐,,,
2629,一級字表,跋,跋,,,
2630,一級字表,跌,跌,,,
2631,一級字表,跑,跑,,,
2632,一級字表,跛,跛,,,
2633,一級字表,遗,遺,,,
2634,一級字表,蛙,蛙,,,
2635,一級字表,蛛,蛛,,,
2636,一級字表,蜓,蜓,,,
2637,一級字表,蜒,蜒,,,
2638,一級字表,蛤,蛤,,,
2639,一級字表,喝,喝,,,
2640,一級字表,鹃,鵑,,,
2641,一級字表,喂,喂,,,
2642,一級字表,喘,喘,,,
2643,一級字表,喉,喉,,,
2644,一級字表,喻,喻,,,
2645,一級字表,啼,啼,,,
2646,一級字表,喧,喧,,,
2647,一級字表,嵌,嵌,,,
2648,一級字表,幅,幅,,,
2649,一級字表,帽,帽,,,
2650,一級字表,赋,賦,,,
2651,一級字表,赌,賭,,,
2652,一級字表,赎,贖,,,
2653,一級字表,赐,賜,,,
2654,一級字表,赔,賠,,,
2655,一級字表,黑,黑,,,
2656,一級字表,铸,鑄,,,
2657,一級字表,铺,鋪,,,
2658,一級字表,链,鏈,,,
2659,一級字表,销,銷,,,
2660,一級字表,锁,鎖,,,
2661,一級字表,锄,鋤,,,
2662,一級字表,锅,鍋,,,
2663,一級字表,锈,鏽,,,
2664,一級字表,锋,鋒,,,
2665,一級字表,锌,鋅,,,
2666,一級字表,锐,銳,,,
2667,一級字表,甥,甥,,,
2668,一級字表,掰,掰,,,
2669,一級字表,短,短,,,
2670,一級字表,智,智,,,
2671,一級字表,氮,氮,,,
2672,一級字表,毯,毯,,,
2673,一級字表,氯,氯,,,
2674,一級字表,鹅,鵝,,,
2675,一級字表,剩,剩,,,
2676,一級字表,稍,稍,,,
2677,一級字表,程,程,,,
2678,一級字表,稀,稀,,,
2679,一級字表,税,稅,,,
2680,一級字表,筐,筐,,,
2681,一級字表,等,等,,,
2682,一級字表,筑,築,筑,,
2683,一級字表,策,策,,,
2684,一級字表,筛,篩,,,
2685,一級字表,筒,筒,,,
2686,一級字表,筏,筏,,,
2687,一級字表,答,答,,,
2688,一級字表,筋,筋,,,
2689,一級字表,筝,箏,,,
2690,一級字表,傲,傲,,,
2691,一級字表,傅,傅,,,
2692,一級字表,牌,牌,,,
2693,一級字表,堡,堡,,,
2694,一級字表,集,集,,,
2695,一級字表,焦,焦,,,
2696,一級字表,傍,傍,,,
2697,一級字表,储,儲,,,
2698,一級字表,皓,皓,,,
2699,一級字表,皖,皖,,,
2700,一級字表,粤,粵,,,
2701,一級字表,奥,奧,,,
2702,一級字表,街,街,,,
2703,一級字表,惩,懲,,,
2704,一級字表,御,禦,御,,
2705,一級字表,循,循,,,
2706,一級字表,艇,艇,,,
2707,一級字表,舒,舒,,,
2708,一級字表,逾,逾,,,
2709,一級字表,番,番,,,
2710,一級字表,释,釋,,,
2711,一級字表,禽,禽,,,
2712,一級字表,腊,臘,,,
2713,一級字表,脾,脾,,,
2714,一級字表,腋,腋,,,
2715,一級字表,腔,腔,,,
2716,一級字表,腕,腕,,,
2717,一級字表,鲁,魯,,,
2718,一級字表,猩,猩,,,
2719,一級字表,猬,蝟,,,
2720,一級字表,猾,猾,,,
2721,一級字表,猴,猴,,,
2722,一級字表,惫,憊,,,
2723,一級字表,然,然,,,
2724,一級字表,馈,饋,餽,,
2725,一級字表,馋,饞,,,
2726,一級字表,装,裝,,,
2727,一級字表,蛮,蠻,,,
2728,一級字表,就,就,,,
2729,一級字表,敦,敦,,,
2730,一級字表,斌,斌,,,
2731,一級字表,痘,痘,,,
2732,一級字表,痢,痢,,,
2733,一級字表,痪,瘓,,,
2734,一級字表,痛,痛,,,
2735,一級字表,童,童,,,
2736,一級字表,竣,竣,,,
