臺灣詞,,,大陸詞,,,差異別
多益,129810,128052,托業,129811,128053,1
大學入學考試,11071,58469,高考,48052,61126,1
太空科學,11328,97061,空間科學,92031,93867,1
威而鋼,12031,63254,偉哥,3640,80964,1
嬉皮,12263,61655,嬉皮士,12264,81507,1
字元,12366,64942,字符,12384,80149,1
導盲磚,13609,3103,盲道磚,49332,3119,1
巡航飛彈,124848,131427,巡航導彈,42331,81075,1
帕拉林匹克運動會,129825,128042,殘疾人奧林匹克運動會,122787,121674,1
建教合作,15232,60854,廠校掛鉤,15153,79575,1
強化玻璃,15400,80461,鋼化玻璃,44418,80484,1
快閃記憶體,16150,96663,閃存,44827,94259,1
房屋所有權狀,129767,127914,房本,110823,123712,1
批價,18068,67466,劃價,82165,14985,1
換檔,19539,114132,換擋,111920,116026,1
數位照相機,68087,8468,數碼照相機,68085,8469,1
數位傳輸,20763,111345,數碼通信,129401,126234,1
數位相機,20752,68871,數字相機,20743,79727,1
數位電視,20759,111343,數碼電視,122472,120996,1
智慧型,21754,69070,智能型,87281,121489,1
最高法院,4903,1009,最高人民法院,122528,121102,1
核子戰爭,22919,69461,核戰爭,22956,81640,1
核子反應器,22915,111587,核反應堆,63780,8765,1
樣品屋,69959,127148,樣板間,69957,127147,1
欄位,23769,70123,字段,12380,79725,1
殘障奧運會,24278,70022,殘疾人奧林匹克運動會,122787,121674,1
每秒千位元數,124031,128119,每秒千字節,124107,128118,1
每秒千位元數,124031,128119,每秒千比特,129829,128400,1
波以耳定律,126253,130096,玻意耳定律,126288,130541,1
激勃酸,130021,132449,赤黴酸,121506,91564,1
火星塞,27172,70098,火花塞,27162,79829,1
營運長,121534,89873,首席運營官,47604,88309,1
特洛伊木馬程式,124054,130458,特洛伊木馬程序,129952,130853,1
環道,130103,133301,環路,111904,129740,1
瓦斯桶,101469,131925,液化氣罐,129510,132339,1
矽藻,91488,93309,硅藻,121562,94737,1
硬體,31443,74301,硬設備,125584,132028,1
科克斯板塊,123670,130060,科科斯板塊,123722,129596,1
程式設計,32191,90927,程序設計,91896,89604,1
程式語言,124042,129288,程序設計語言,124117,129289,1
空中大學,32378,70281,電視大學,46171,80470,1
空檔,32441,112539,空擋,32437,79840,1
綠色軟體,122877,129530,綠色軟件,122878,129529,1
網路版,122390,119002,網絡版,92905,119001,1
網路語言,130037,132787,網絡語言,129453,132645,1
聖女現象,35221,20803,反厄爾尼諾現象,110778,15203,1
聚合作用,127132,129747,聚合反應,127194,129746,1
自動販賣機,36292,70841,自動售貨機,36293,81139,1
芮氏,130077,133212,里氏震級,130098,133291,1
薪水階級,37734,70979,工薪族,84932,125506,1
行動通信,122413,120600,移動通信,91872,118827,1
行動電源,129788,128041,移動電源,129787,128040,1
西洋棋,39003,71107,國際象棋,9384,79773,1
西裝裙,129557,122320,一步裙,123104,122064,1
視訊會議,39150,113175,電視電話會議,129238,133222,1
觸控式螢幕,121104,85537,觸摸屏,39346,19158,1
調撥車道,40094,86147,潮汐車道,122867,121739,1
超大型積體電路,124066,129025,超大規模集成電路,124135,129024,1
軟碟,41908,79051,軟磁盤,96053,117429,1
追撞,42577,71176,追尾,42555,81083,1
連線,42692,79582,聯機,35382,75573,1
遊客資訊中心,43008,81315,遊客信息中心,43007,81316,1
選殖,121770,97151,克隆,4187,862,1
酒測器,120405,14729,吹波機,7936,1567,1
鑽漏洞,44701,71557,鑽空子,44698,79775,1
雷射唱機,46302,71774,激光唱機,27009,71777,1
雷射武器,122350,116801,激光武器,89687,95663,1
電話答錄機,46204,71772,錄音電話,44470,81204,1
電傳打字機,46219,80472,電傳機,46222,80475,1
世大運,129822,128057,世界大學生運動會,129824,128055,1
互動式電視,1737,1637,交互式電視,1789,585,1
伺服器,2687,95145,服務器,62929,8967,1
來電答鈴,60486,3963,彩鈴,15547,3885,1
優養化,72978,12264,富營養化,84484,121040,1
分散式網路,123584,125828,分散式網絡,130116,133310,1
半形,6607,80285,半角,6609,80271,1
原子爐,70477,6686,原子核反應堆,70475,6684,1
反應爐,62663,7031,核反應堆,63780,8765,1
同步口譯,7574,80517,同聲翻譯,7633,81184,1
品檢,122415,120871,質檢,95650,120038,1
唱片行,8517,81355,音像店,46742,81358,1
喻依,8746,81593,喻體,8748,81595,1
噴墨式印表機,8882,110017,噴墨打印機,125909,123207,1
國有財產,9306,64403,國有資產,9307,79733,1
地震強度,121342,84950,烈度,89856,93141,1
執行長,9928,110148,首席執行官,129397,133205,1
基因剔除,123897,127417,基因敲除,123966,127416,1
基因體,123900,127420,基因組,112136,127419,1
堆高機,75350,25768,叉車,74158,15878,1
報導文學,10075,62476,報告文學,10040,65936,1
太空衣,11322,64616,宇航服,12584,3177,1
太空衣,11322,64616,航天服,36638,114187,1
奈米,11488,64046,納米,33554,80597,1
安非他命,12664,59984,安非他明,12663,81674,1
安公子,12632,80716,安非他明,12663,81674,1
