臺灣詞,,,大陸詞,,,差異別
磁碟作業系統,124011,128511,磁盤操作系統,124087,128512,1
科學記法,124235,129675,科學計數法,124284,129599,1
移動硬碟,129553,121909,移動硬盤,129166,121881,1
競速滑冰,122359,117150,速度滑冰,96400,117053,1
競速滑冰,122359,117150,速滑,96402,117054,1
節水墊片,121501,89574,節水環,32902,87715,1
網路,34032,61614,網絡,34027,61613,1
網路犯罪,34034,112685,網絡犯罪,92906,119005,1
纜線數據機,124000,129657,線纜調制解調器,124079,130288,1
群殖,125708,129562,克隆,4187,862,1
聚斂性思考,130030,132646,聚合思維,125840,129749,1
胸腔科,122451,120943,胸科,93597,119752,1
自由業,36181,70800,自由職業,36182,76131,1
花式溜冰,36856,71112,花樣滑冰,36907,79806,1
蒸散作用,123788,131433,蒸騰作用,129965,131431,1
薪水階級,37734,70979,工薪階層,14346,79752,1
藍白當機畫面,121366,85386,藍屏,37785,85106,1
螢光劑,38255,87257,熒光增白劑,125811,132112,1
護貝,40353,61726,塑封,10119,80650,1
貝他射線,60788,5307,貝塔射線,60789,5305,1
資訊,40883,61589,信息,2929,60765,1
資訊系統,124025,129922,信息系統,124103,124902,1
軍教片,121480,87072,軍旅劇,41838,85667,1
軟式磁碟機,124017,130745,軟式磁盤機,129908,129307,1
軟體,41917,79050,軟件,41889,77080,1
軟體包,122430,120925,軟件包,96044,117372,1
輔助記憶體,124047,129362,外存儲器,83724,123914,1
農民曆,42263,87613,農家曆,121532,89437,1
迪斯可,42411,79061,迪斯科,42412,78312,1
通儲,130035,132828,通存,129430,132706,1
速賜康,42727,97125,鎮痛新,126129,131869,1
遠距教學,43267,71339,遠距離教學,43269,79766,1
部落客,43603,113579,博客,6725,80139,1
郵遞區號,43638,61491,郵政編碼,43624,77966,1
郵遞區號,43638,61491,郵編,43642,77984,1
隨身碟,45616,71501,優盤,3980,1051,1
雷射刀,46295,90600,激光刀,112147,90625,1
雷射唱片,46301,81452,激光唱片,27008,81430,1
電子資訊,120180,21164,電子信息,121093,26106,1
電腦網路,46236,21372,計算機網絡,95100,26107,1
電腦音樂,46226,85554,計算機音樂,121354,85542,1
電泳晶片,127111,128850,電泳芯片,127170,128847,1
顏面神經,121755,97131,面神經,98120,96821,1
風浪板,47234,113951,滑浪風帆,129706,125710,1
駕訓班,47769,71668,駕校,47770,80196,1
高空彈跳,48069,80762,蹦極,41640,81026,1
黑箱作業,48811,71586,黑箱操作,48812,114184,1
世大運,129822,128057,大運會,129222,123387,1
主記憶體,1337,109181,主存儲器,122974,122600,1
二氧化碳雷射儀,129682,125024,二氧化碳激光器,126289,122796,1
二氧化矽,72238,12202,二氧化硅,110717,12272,1
保固,3017,60712,保修,3025,81572,1
倒數,3278,518,倒讀數,49356,84913,1
傳輸控制協定,124052,126340,傳輸控制協議,124127,127216,1
克漏字,129808,128377,完型填空,129809,128378,1
免費軟體,4216,60155,免費軟件,49360,84720,1
內部網路,49259,1487,內聯網,4394,652,1
全球資訊網,4437,109544,萬維網,94301,118248,1
全形,4413,80288,全角,4415,80289,1
公共危險罪,73258,12641,危害公共安全罪,122348,116939,1
列表機,5490,59861,打印機,17787,79747,1
列印,5483,59858,打印,17786,80158,1
原子爐,70477,6686,核反應堆,63780,8765,1
原始碼,130233,133365,源代碼,26521,86471,1
反聖嬰現象,7095,80318,拉尼娜,123730,125247,1
反聖嬰現象,7095,80318,拉尼娜現象,18268,80323,1
反應爐,62663,7031,原子核反應堆,70475,6684,1
品管,8303,62670,質管,95652,120035,1
唯讀儲存器,120546,17124,只讀存儲器,7443,79820,1
單株抗體,121774,97155,單克隆抗體,8705,1557,1
噴墨印表機,130062,132920,噴墨打印機,125909,123207,1
嚴重急性呼吸道症候群,123698,126722,非典,110855,90295,1
基因晶片,123898,127414,基因芯片,83509,127411,1
堆高機,75350,25768,鏟車,97193,91299,1
報到櫃檯,122486,120983,值機島,3228,471,1
安親班,12707,65095,托班,17962,3969,1
實況錄影,13242,3509,實況錄像,122134,115433,1
小筆電,129813,128047,上網本,129814,128046,1
布希曼人,123765,125622,布須曼人,123801,125625,1
店頭市場,15002,65554,場外交易市場,61396,6191,1
影音製品,122425,120921,音像製品,98153,120070,1
徒步區,15720,80501,步行街,24055,79828,1
成屋,17417,59988,現房,29032,79807,1
折射光,124859,124788,折光,70785,8189,1
數位圖書館,122946,126229,數字圖書館,86960,126233,1
晶片卡,21724,10314,集成電路卡,112164,14864,1
智慧卡,21753,10948,集成電路卡,112164,14864,1
柔軟精,22849,81445,柔軟劑,125124,128285,1
校園民歌,130052,132882,臺灣校園歌曲,129411,132396,1
氟氯烷,110977,128410,氟利昂,24602,80785,1
汽泡酒,25013,81672,汽酒,25015,81457,1
洗版,123053,130370,刷屏,123054,125855,1
滑鼠,26559,61582,鼠標,68063,88769,1
潘他唑新,26950,89847,鎮痛新,126129,131869,1
無灰粉筆,27449,70472,無塵粉筆,27582,79830,1
瓦斯桶,101469,131925,煤氣罐,90019,131797,1
生物晶片,122343,116619,生物芯片,90665,116425,1
登機門,30075,70650,登機口,30074,81679,1
矽晶片,31282,112389,硅晶片,130015,131736,1
社群網站,129789,128038,社交網站,129790,128039,1
細懸浮微粒,129555,122359,可入肺顆粒物,129559,122360,1
網際網路電話,122846,131062,網上電話,34000,87795,1
網路教育,122391,118996,網絡教育,92903,118995,1
網路選美,123661,131058,網絡選美,129957,131057,1
網路美女,123658,131054,網絡美女,129955,131053,1
聖女現象,35221,20803,拉尼娜,123730,125247,1
腦死,35926,70825,腦死亡,35927,79763,1
航廈,122996,122362,候機樓,81219,123089,1
花式,36854,71109,花樣,36904,63806,1
莫耳質量,127125,130473,摩爾質量,127185,128288,1
行動設備作業系統,124029,130613,移動操作系統,130018,132439,1
起點站,95773,117511,始發站,67921,8157,1
超領,49479,84455,超支,41323,78311,1
辦公大樓,42210,61687,寫字樓,13324,95253,1
迴紋針,42511,71168,迴形針,42510,80143,1
錄影,44477,74977,錄像,44473,74968,1
閘道,130038,132788,網間連接器,130040,132790,1
閘道器,130039,132789,網間連接器,130040,132790,1
阿斯匹靈,45230,78432,阿司匹林,45205,78426,1
雙槽洗衣機,130106,133302,雙桶洗衣機,129936,130816,1
電鍋,46280,78655,電飯鍋,46192,78570,1
露營車,46456,79767,房車,17584,67242,1
首席營運長,121535,89970,運營官,43097,87871,1
高畫質,48131,114023,高清,48108,86856,1
高階程式語言,129871,129222,高級語言,124099,129226,1
鷹架,48592,71624,腳手架,35886,79805,1
主記憶體,1337,109181,內存儲器,81524,133379,1
乳突狀瘤病毒,123875,122783,乳頭狀瘤病毒,123948,122784,1
仲介,2397,59653,中介,1157,61744,1
位元每秒,129830,128390,每秒傳送位數,124076,128116,1
儀降,129703,125509,盲降,113558,121864,1
儲值卡,3940,62033,充值卡,4037,81334,1
光碟燒錄機,4103,680,刻錄機,5601,80138,1
入檔,4314,58131,掛擋,111383,18768,1
公事包,4640,58923,公文包,4568,80700,1
共享軟體,4760,59811,共享軟件,4759,80374,1
區域網路,6483,62012,局域網,13898,80352,1
升檔,82388,124374,升擋,129724,126369,1
卡式電話,6748,59476,磁卡電話,31505,79748,1
原子序,6895,109832,原子序數,74112,14869,1
去光水,6987,81276,洗甲水,25634,81286,1
反應爐,62663,7031,反應堆,62662,7030,1
哈拉,8323,1906,海吹,25897,90256,1
噴射式油墨印表機,8876,61651,噴墨式打印機,8880,81650,1
噴射式油墨印表機,8876,61651,噴墨打印機,125909,123207,1
噴墨式印表機,8882,110017,噴墨式打印機,8880,81650,1
嚴重急性呼吸道症候群,123698,126722,嚴重急性呼吸綜合徵,123847,126718,1
土地所有權狀,120670,17516,土地所有權證,120643,121435,1
均值定理,129691,125081,中值定理,124270,122546,1
坎城影展,123172,127260,戛納影展,123173,127692,1
太空飛行員,120720,17837,宇航員,12585,80715,1
奈米技術,11489,110372,納米技術,92581,117852,1
奈米纖維,121820,115030,納米纖維,121819,115031,1
威而鋼,12031,63254,萬艾可,31977,81647,1
導引酶,123917,125422,引發酶,123986,125660,1
小耳朵,13665,64463,小鍋,13769,80152,1
尖峰時間,121496,87883,交通高峰,121601,93450,1
忙線訊號,16108,81390,忙音信號,16103,81389,1
戴奧辛,17534,66719,二噁英,1663,80355,1
房屋所有權狀,129767,127914,房產證,128966,123714,1
抗議文學,17995,111071,傷痕文學,3817,95258,1
挽面,18925,80765,絞臉,33773,80786,1
數位傳輸,20763,111345,數字通信,86962,126224,1
暖氣機,21820,8655,暖風機,66508,8651,1
東北季風,123686,128254,東北季候風,123736,128257,1
柔軟精,22849,81445,柔順劑,22852,81446,1
核子試爆,22918,69458,核試驗,22941,81639,1
殘障奧林匹克運動會,130054,133227,殘奧會,129199,127688,1
殘障奧林匹克運動會,130054,133227,殘疾人奧運會,24266,81686,1
殘障奧林匹克運動會,130054,133227,殘疾人奧林匹克運動會,122787,121674,1
每秒位元數,123998,128115,每秒傳送位數,124076,128116,1
滑鼠手,130093,133289,鼠標手,129400,132626,1
潘他唑新,26950,89847,噴他佐辛,121557,90305,1
燃料裝填週期,129745,130606,換料週期,123036,124769,1
燒錄機,27931,70196,光盤刻錄機,4110,748,1
用戶滿意介面,124063,130591,使用者親和性,124062,125572,1
矽谷,31280,75648,硅谷,31397,75649,1
硬碟,31435,74291,硬盤,31438,74235,1
程式語言,124042,129288,編程語言,124118,128882,1
空大,65225,85233,電大,62203,19446,1
答案卷,61850,87528,答卷,61853,18174,1
系統軟體,130403,133404,系統軟件,33362,81637,1
純水,33536,70557,純淨水,33544,80178,1
網路化,122389,119000,網絡化,92902,118999,1
網路攝影機,123167,131060,網絡攝影機,123168,131059,1
網路文學,122388,118997,網絡文學,92904,118998,1
網路蟑螂,130276,133367,玉米蟲,28821,86715,1
網路電腦,122386,119004,網絡計算機,92908,119003,1
網路電話,34038,70562,網絡電話,34028,84353,1
聖女現象,35221,20803,拉尼娜現象,18268,80323,1
腦力激盪,35919,112867,頭腦風暴,129433,133048,1
自體免疫疾病,123871,131419,自身免疫疾病,129972,131420,1
自體免疫疾病,123871,131419,自身免疫病,123947,130444,1
航太人,36644,86674,航天人,36637,86673,1
虛擬實境,38033,113087,虛擬現實,94541,119134,1
裂解,94831,95974,裂化,94828,95966,1
觸控式螢幕,121104,85537,觸屏,39337,85536,1
記憶體,39501,61116,存儲器,49390,81708,1
貝他射線,60788,5307,乙種射線,70097,5270,1
負成長,40619,71125,負增長,40644,80442,1
資訊技術,40885,80072,信息技術,2930,80057,1
軟體工程,124050,130286,軟件工程,124124,130284,1
迪斯可,42411,79061,的士高,122269,128568,1
通提,130036,132827,通兌,96361,132709,1
速食店,42719,113507,快餐店,85567,120994,1
遊覽車,43031,71320,旅遊車,21206,81548,1
過動兒,43167,81065,多動兒,10530,81011,1
都市更新,120600,21262,舊城改造,122870,121741,1
錄影帶,44478,74984,錄像帶,44474,74970,1
隨身碟,45616,71501,大拇哥,10789,2549,1
隨身碟,45616,71501,快閃記憶體盤,16151,5287,1
隨身碟,45616,71501,霹靂碟,46461,88221,1
雷射印表機,46299,113863,激光打印機,89686,95659,1
電鍋,46280,78655,電飯煲,62205,87504,1
電子遮蔽器,130274,133364,屏蔽儀,13979,3495,1
電視影集,46180,89306,電視系列片,97979,89169,1
電解槽,127110,129095,電解池,127169,129094,1
類比電視,122473,121003,模擬電視,88070,120999,1
魔術方塊,48338,96949,魔方,98799,94873,1
黑箱作業,48811,71586,暗箱操作,49417,84854,1
黑盒子,48796,71583,黑匣子,48781,81541,1
