流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
43,佃,ㄉ丨ㄢˋ,ㄊ丨ㄢˊ,,,,
44,佔,ㄓㄢˋ,,,,,
45,作,ㄗㄨㄛˊ,ㄗㄨㄛˋ,,,,
46,伯,ㄅㄛˊ,,,,,
47,余,ㄩˊ,ㄒㄩˊ,,,,
48,佚,丨ˋ,,,,,
49,佁,丨ˇ ,,,,,
50,使,ㄕˇ,,,,,
51,供,ㄍㄨㄥ,ㄍㄨㄥˋ,,,,
52,來,ㄌㄞˊ,,,,,
53,佰,ㄅㄞˇ,,,,,
54,佻,ㄊ丨ㄠ,,,,,
55,信,ㄒ丨ㄣˋ,,,,,
56,便,ㄅ丨ㄢˋ,ㄆ丨ㄢˊ,,,,
57,俠,ㄒ丨ㄚˊ,,,,,
58,俟,ㄑ丨ˊ,ㄙˋ,,,,
59,俊,ㄐㄩㄣˋ,,,,,
60,俞,ㄩˊ,,,,,
61,俛,ㄇ丨ㄢˇ,ㄈㄨˇ,,,,
62,倥,ㄎㄨㄥ,ㄎㄨㄥˇ,,,,
63,倩,ㄑ丨ㄢˋ,,,,,
64,倆,ㄌ丨ㄚˇ,ㄌ丨ㄤˇ,,,,
65,值,ㄓˊ,,,,,
66,倒,ㄉㄠˇ,ㄉㄠˋ,,,,
67,們,ㄇㄣˊ,˙ㄇㄣ,,,,
68,俺,ㄢˇ,,,,,
69,倔,ㄐㄩㄝˊ,ㄐㄩㄝˋ,,,,
70,俱,ㄐㄩˋ,,,,,
71,倡,ㄔㄤ,ㄔㄤˋ,,,,
72,個,ㄍㄜˋ,ㄍㄜˇ,,,,
73,倘,ㄊㄤˇ,,,,,
74,倭,ㄨㄛ,,,,,
75,俾,ㄅ丨ˋ,,,,,
76,偺,ㄗㄚˊ,ㄗㄢˊ,,,,
77,假,ㄐ丨ㄚˇ,ㄐ丨ㄚˋ,,,,
78,偕,ㄒ丨ㄝˊ,ㄐ丨ㄝ,,,,
79,側,ㄘㄜˋ,,,,,
80,傍,ㄅㄤ,ㄅㄤˋ,,,,
81,傅,ㄈㄨˋ,,,,,
82,傀,ㄍㄨㄟ,ㄎㄨㄟˇ,,,,
83,傖,ㄘㄤ,,,,,
84,傌,ㄇㄚˇ,ㄇㄚˋ,,,,
85,傭,ㄩㄥ,,,,,
86,傳,ㄓㄨㄢˋ,ㄔㄨㄢˊ,,,,
87,僅,ㄐ丨ㄣˇ,,,,,
88,傾,ㄑ丨ㄥ,,,,,
89,僮,ㄊㄨㄥˊ,ㄓㄨㄤˋ,,,,
90,僥,ㄐ丨ㄠˇ,丨ㄠˊ,,,,
91,僻,ㄆ丨ˋ,,,,,
92,價,˙ㄍㄚ,ㄐ丨ㄚˋ,,,,
93,儉,ㄐ丨ㄢˇ,,,,,
94,儐,ㄅ丨ㄣ,,,,,
95,儲,ㄔㄨˊ,,,,,
96,先,ㄒ丨ㄢ,,,,,
97,兌,ㄉㄨㄟˋ,ㄩㄝˋ,,,,
98,免,ㄇ丨ㄢˇ,,,,,
99,兒,ㄋ丨ˊ,ㄦˊ,,,,
100,入,ㄖㄨˋ,,,,,
101,內,ㄋㄟˋ,,,,,
102,兩,ㄌ丨ㄤˇ,,,,,
103,六,ㄌ丨ㄡˋ,ㄌㄨˋ,,,,
104,共,ㄍㄨㄥ,ㄍㄨㄥˋ,,,,
105,其,ㄐ丨,ㄑ丨ˊ,,,,
106,冊,ㄘㄜˋ,,,,,
107,冒,ㄇㄠˋ,ㄇㄛˋ,,,,
108,冠,ㄍㄨㄢ,ㄍㄨㄢˋ,,,,
109,几,ㄐ丨 ,ㄐ丨ˇ,,,,
110,凹,ㄠ,,,,,
111,凸,ㄊㄨˊ,,,,,
112,分,ㄈㄣ,ㄈㄣˋ,,,,
113,切,ㄑ丨ㄝ,ㄑ丨ㄝˋ,,,,
114,刨,ㄅㄠˋ,ㄆㄠˊ,,,,
115,刻,ㄎㄜˋ,,,,,
116,刷,ㄕㄨㄚ,,,,,
117,剎,ㄔㄚˋ,ㄕㄚ,,,,
118,削,ㄒ丨ㄠ,ㄒㄩㄝˋ,,,,
119,剌,ㄌㄚˊ,ㄌㄚˋ,,,,
120,剖,ㄆㄡˇ,,,,,
121,剝,ㄅㄛ,,,,,
122,剡,ㄕㄢˋ,丨ㄢˇ,,,,
123,副,ㄈㄨˋ,,,,,
124,創,ㄔㄨㄤ,ㄔㄨㄤˋ,,,,
125,劃,ㄏㄨㄚˊ,ㄏㄨㄚˋ,,,,
126,劇,ㄐㄩˋ,,,,,
127,劈,ㄆ丨,,,,,
