流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
518,攢,ㄗㄢˇ ,ㄘㄨㄢˊ,,,,
519,攣,ㄌㄨㄢˊ,,,,,
520,攪,ㄐ丨ㄠˇ,,,,,
521,放,ㄈㄤˇ,ㄈㄤˋ,,,,
522,敖,ㄠˊ,,,,,
523,教,ㄐ丨ㄠ,ㄐ丨ㄠˋ,,,,
524,敦,ㄉㄨㄟˋ,ㄉㄨㄣ,,,,
525,散,ㄙㄢˇ,ㄙㄢˋ,,,,
526,數,ㄕㄨˇ,ㄕㄨˋ,ㄕㄨㄛˋ,ㄘㄨˋ,,
527,敺,ㄑㄩ,,,,,
528,斁,ㄉㄨˋ,丨ˋ ,,,,
529,文,ㄨㄣˊ,ㄨㄣˋ,,,,
530,斐,ㄈㄟˇ,,,,,
531,斜,ㄒ丨ㄝˊ,,,,,
532,斡,ㄨㄛˋ,,,,,
533,於,ㄨ,ㄩˊ,,,,
534,施,ㄕ,丨ˊ,,,,
535,旁,ㄆㄤˊ,,,,,
536,旋,ㄒㄩㄢˊ,ㄒㄩㄢˋ,,,,
537,日,ㄖˋ,ㄇ丨ˋ,,,,
538,昔,ㄒ丨ˊ,,,,,
539,昆,ㄎㄨㄣ,ㄏㄨㄣˊ,,,,
540,昳,ㄉ丨ㄝˊ,丨ˋ ,,,,
541,晃,ㄏㄨㄤˇ,ㄏㄨㄤˋ,,,,
542,晟,ㄔㄥˊ,ㄕㄥˋ ,,,,
543,景,ㄐ丨ㄥˇ,,,,,
544,暇,ㄒ丨ㄚˊ,,,,,
545,暈,ㄩㄣ,ㄩㄣˋ,,,,
546,暖,ㄋㄨㄢˇ,ㄒㄩㄢ,,,,
547,暍,ㄏㄜˋ,,,,,
548,暝,ㄇ丨ㄥˊ ,,,,,
549,暫,ㄓㄢˋ,,,,,
550,暴,ㄅㄠˋ,ㄆㄨˋ,,,,
551,曲,ㄑㄩ,ㄑㄩˇ,,,,
552,曳,丨ˋ,,,,,
553,更,ㄍㄥ,ㄍㄥˋ,,,,
554,曾,ㄗㄥ,ㄘㄥˊ,,,,
555,會,ㄍㄨㄟˋ,ㄎㄨㄞˋ,ㄏㄨㄟˋ,ㄏㄨㄟˇ,,
556,有,丨ㄡˇ,丨ㄡˋ,,,,
557,期,ㄐ丨,ㄑ丨ˊ,,,,
558,朝,ㄓㄠ,ㄔㄠˊ,,,,
559,朴,ㄆㄛˋ,ㄆㄨˊ,,,,
560,朱,ㄓㄨ,,,,,
561,杉,ㄕㄢ,,,,,
562,杠,ㄍㄤ,,,,,
563,杓,ㄅ丨ㄠ,ㄕㄠˊ ,,,,
564,枕,ㄓㄣˇ,ㄓㄣˋ,,,,
565,杷,ㄆㄚˊ,,,,,
566,枝,ㄓ,,,,,
567,枓,ㄉㄡˇ,ㄓㄨˇ,,,,
568,某,ㄇㄟˊ,ㄇㄡˇ,,,,
569,柵,ㄓㄚˋ,,,,,
570,柄,ㄅ丨ㄥˇ,,,,,
571,柑,ㄍㄢ,,,,,
572,查,ㄓㄚ,ㄔㄚˊ,,,,
573,枸,ㄍㄡ,ㄍㄡˇ,ㄐㄩˇ,,,
574,柏,ㄅㄛˊ,,,,,
575,柞,ㄗㄜˊ,ㄗㄨㄛˋ,,,,
576,枹,ㄈㄨˊ ,,,,,
577,校,ㄐ丨ㄠˋ,ㄒ丨ㄠˋ,,,,
578,桔,ㄐ丨ㄝˊ,ㄐㄩˊ,,,,
579,柴,ㄔㄞˊ,,,,,
580,梧,ㄨˊ,,,,,
581,械,ㄒ丨ㄝˋ,,,,,
582,梡,ㄎㄨㄢˇ ,,,,,
583,梲,ㄓㄨㄛˊ,,,,,
584,椅,丨ˇ,,,,,
585,棹,ㄓㄠˋ,ㄓㄨㄛ,,,,
586,棲,ㄑ丨,ㄒ丨,,,,
587,棣,ㄉ丨ˋ,,,,,
588,棋,ㄑ丨ˊ,,,,,
589,椎,ㄓㄨㄟ,ㄔㄨㄟˊ,,,,
590,業,丨ㄝˋ,,,,,
591,楔,ㄒ丨ㄝ,,,,,
592,楞,ㄌㄥˊ,ㄌㄥˋ,,,,
593,榜,ㄅㄤˇ,ㄅㄥˋ,,,,
594,槍,ㄑ丨ㄤ,ㄔㄥ,,,,
595,榦,ㄍㄢˋ,ㄏㄢˊ ,,,,
596,樣,丨ㄤˋ,,,,,
597,標,ㄅ丨ㄠ,,,,,
598,模,ㄇㄛˊ,,,,,
599,樂,ㄌㄜˋ,丨ㄠˋ,ㄩㄝˋ,,,
600,橫,ㄏㄥˊ,ㄏㄥˋ,,,,
601,橇,ㄑ丨ㄠ,,,,,
602,樨,ㄒ丨,,,,,
603,檔,ㄉㄤˇ,,,,,
604,檜,ㄎㄨㄞˋ,,,,,
605,檐,丨ㄢˊ,ㄉㄢˋ,,,,
606,檳,ㄅ丨ㄣ,,,,,
607,檻,ㄎㄢˇ,ㄐ丨ㄢˋ,,,,
608,櫟,ㄌ丨ˋ,ㄩㄝˋ ,,,,
609,欏,ㄌㄨㄛˊ,,,,,
610,次,ㄘˋ,,,,,
611,欬,ㄎㄞˋ ,ㄎㄜˊ ,,,,
612,欸,ㄞˇ,ㄟˋ,,,,
613,欹,ㄑ丨,丨,,,,
614,歐,ㄡ,,,,,
615,歙,ㄒ丨ˋ,ㄕㄜˋ,,,,
616,正,ㄓㄥ,ㄓㄥˋ,,,,
617,歪,ㄨㄞ,ㄨㄞˇ,,,,
618,歸,ㄍㄨㄟ,,,,,
619,歹,ㄉㄞˇ,,,,,
620,殷,丨ㄣ,丨ㄣˇ,丨ㄢ,,,
621,殺,ㄕㄚ,ㄕㄞˋ,,,,
622,殼,ㄎㄜˊ,,,,,
623,毒,ㄉㄨˊ,,,,,
624,比,ㄅ丨ˇ,ㄅ丨ˋ,,,,
625,氏,ㄕˋ, ㄓ,,,,
626,氐,ㄉ丨,,,,,
627,氓,ㄇㄥˊ,ㄇㄤˊ,,,,
628,氯,ㄌㄩˋ,,,,,
629,氾,ㄈㄢˋ,,,,,
630,汗,ㄏㄢˋ,ㄏㄢˊ,,,,
631,汙,ㄨ,,,,,
632,沈,ㄕㄣˇ,,,,,
633,沉,ㄔㄣˊ,,,,,
634,沒,ㄇㄛˋ,ㄇㄟˊ,,,,
635,沃,ㄨㄛˋ,,,,,
636,沆,ㄏㄤˋ ,,,,,
637,沏,ㄑ丨 ,,,,,
638,汩,ㄍㄨˇ,ㄩˋ ,,,,
639,泌,ㄅ丨ˋ,ㄇ丨ˋ,,,,
640,泥,ㄋ丨ˊ,ㄋ丨ˋ,,,,
641,波,ㄅㄛ,,,,,
642,法,ㄈㄚˇ,ㄈㄚˊ,,,,
643,沸,ㄈㄟˋ,,,,,
644,泄,ㄒ丨ㄝˋ,丨ˋ,,,,
645,沮,ㄐㄩ,ㄐㄩˇ,ㄐㄩˋ,,,
646,沿,丨ㄢˊ,,,,,
647,治,ㄓˋ,,,,,
648,泡,ㄆㄠ,ㄆㄠˋ,,,,
649,泛,ㄈㄢˋ,,,,,
650,泊,ㄅㄛˊ,,,,,
651,沬,ㄇㄟˋ,ㄏㄨㄟˋ,,,,
652,洞,ㄉㄨㄥˋ,ㄊㄨㄥˊ,,,,
653,洗,ㄒ丨ˇ,ㄒ丨ㄢˇ,,,,
654,洽,ㄑ丨ㄚˋ,,,,,
655,洼,ㄍㄨㄟ,ㄨㄚ,,,,
656,洒,ㄒ丨ㄢˇ,ㄘㄨㄟˇ,ㄙㄚˇ,ㄒ丨ˇ,,
657,洸,ㄍㄨㄤ,,,,,
658,洩,ㄒ丨ㄝˋ,丨ˋ ,,,,
659,浪,ㄌㄤˋ,,,,,
660,浸,ㄐ丨ㄣˋ,,,,,
661,浬,ㄌ丨ˇ,,,,,
662,浮,ㄈㄨˊ,,,,,
663,浣,ㄨㄢˇ ,,,,,
664,涎,ㄒ丨ㄢˊ,,,,,
665,涼,ㄌ丨ㄤˊ,,,,,
666,液,丨ㄝˋ,,,,,
667,淺,ㄑ丨ㄢˇ,ㄐ丨ㄢ,,,,
668,淹,丨ㄢ,,,,,
669,混,ㄍㄨㄣˇ,ㄏㄨㄣˋ,,,,
670,涿,ㄓㄨㄛˊ ,,,,,
671,湔,ㄐ丨ㄢ,,,,,
672,渣,ㄓㄚ,,,,,
673,湛,ㄉㄢ,ㄓㄢˋ,,,,
674,湮,丨ㄣ,,,,,
675,渦,ㄍㄨㄛ,ㄨㄛ,,,,
676,湯,ㄊㄤ,ㄕㄤ,,,,
677,渴,ㄎㄜˇ,ㄏㄜˊ,,,,
678,渾,ㄏㄨㄣˊ,ㄏㄨㄣˋ,,,,
679,渫,ㄉ丨ㄝˊ,ㄒ丨ㄝˋ,,,,
680,湫,ㄐ丨ㄠˇ,ㄐ丨ㄡ,,,,
681,溺,ㄋ丨ˋ,,,,,
682,滑,ㄍㄨˇ,ㄏㄨㄚˊ,,,,
683,溜,ㄌ丨ㄡ,ㄌ丨ㄡˋ,,,,
684,滄,ㄘㄤ,,,,,
685,溪,ㄒ丨,,,,,
686,漩,ㄒㄩㄢˊ,,,,,
687,漂,ㄆ丨ㄠ,ㄆ丨ㄠˇ,ㄆ丨ㄠˋ,,,
688,漆,ㄑ丨,,,,,
689,漱,ㄕㄨˋ,,,,,
690,漸,ㄐ丨ㄢˋ,,,,,
691,漲,ㄓㄤˇ,ㄓㄤˋ,,,,
692,漕,ㄘㄠˊ,,,,,
693,漫,ㄇㄢˋ,,,,,
694,漯,ㄊㄚˋ,ㄌㄨㄛˋ,,,,
695,漚,ㄡ,ㄡˋ,,,,
696,漿,ㄐ丨ㄤ,ㄐ丨ㄤˋ,,,,
697,澄,ㄉㄥˋ,ㄔㄥˊ,,,,
698,潦,ㄌㄠˋ,ㄌ丨ㄠˊ,,,,
699,澎,ㄆㄥ,ㄆㄥˊ,,,,
700,潰,ㄎㄨㄟˋ,,,,,
701,澳,ㄠˋ,,,,,
702,澹,ㄉㄢˋ,ㄊㄢˊ,,,,
703,濟,ㄐ丨ˇ,ㄐ丨ˋ,,,,
704,濤,ㄊㄠˊ,,,,,
705,濕,ㄊㄚˋ,ㄕ,,,,
706,濺,ㄐ丨ㄢ,ㄐ丨ㄢˋ,,,,
707,瀑,ㄅㄠˋ,ㄆㄨˋ,,,,
708,瀕,ㄅ丨ㄣ,,,,,
709,瀾,ㄌㄢˊ,ㄌㄢˋ,,,,
710,瀰,ㄇ丨ˊ,,,,,
711,炊,ㄔㄨㄟ,,,,,
712,為,ㄨㄟˊ,ㄨㄟˋ,,,,
713,炸,ㄓㄚˊ,ㄓㄚˋ,,,,
714,炮,ㄅㄠ,ㄆㄠˊ,ㄆㄠˋ,,,
715,烙,ㄌㄠˋ,ㄌㄨㄛˋ,,,,
716,焚,ㄈㄣˊ,,,,,
717,無,ㄨˊ,ㄇㄛˊ,,,,
718,煬,丨ㄤˊ,,,,,
719,煞,ㄕㄚ,ㄕㄚˋ,,,,
720,煖,ㄋㄨㄢˇ,,,,,
721,熙,ㄒ丨,,,,,
722,熏,ㄒㄩㄣ ,,,,,
723,熟,ㄕㄡˊ,,,,,
724,熬,ㄠˊ,,,,,
725,熨,ㄩㄣˋ,ㄩˋ,,,,
726,燉,ㄉㄨㄣ,ㄉㄨㄣˋ,,,,
727,燕,丨ㄢ,丨ㄢˋ,,,,
728,燎,ㄌ丨ㄠˊ,,,,,
729,燜,ㄇㄣ,,,,,
730,燥,ㄗㄠˋ,ㄙㄠˋ,,,,
731,燠,ㄩˋ ,,,,,
732,燿,丨ㄠˋ ,,,,,
733,爆,ㄅㄠˋ,,,,,
734,爪,ㄓㄠˇ,ㄓㄨㄚˇ,,,,
735,父,ㄈㄨˇ,ㄈㄨˋ,,,,
736,爻,丨ㄠˊ,,,,,
737,片,ㄆ丨ㄢˋ,,,,,
738,牡,ㄇㄨˇ,,,,,
739,牠,ㄊㄚ,,,,,
740,犍,ㄐ丨ㄢ ,ㄑ丨ㄢˊ ,,,,
741,犛,ㄌ丨ˊ,,,,,
742,猗,丨,丨ˇ,ㄜˇ,,,
743,猲,ㄏㄜˋ,ㄒ丨ㄝ,,,,
744,獃,ㄉㄞ,,,,,
745,獲,ㄏㄨㄛˋ,,,,,
746,獺,ㄊㄚˋ,,,,,
747,率,ㄌㄩˋ,ㄕㄨㄞˋ,,,,
748,王,ㄨㄤˊ,ㄨㄤˋ,,,,
749,玩,ㄨㄢˊ,,,,,
750,玟,ㄨㄣˊ,,,,,
751,瑁,ㄇㄟˋ,,,,,
752,瑒,ㄔㄤˋ,丨ㄤˊ ,,,,
753,璉,ㄌ丨ㄢˊ,,,,,
754,瑾,ㄐ丨ㄣˇ ,,,,,
755,瓦,ㄨㄚˇ,ㄨㄚˋ,,,,
756,甚,ㄕㄣˊ,ㄕㄣˋ,,,,
757,甯,ㄋ丨ㄥˋ,,,,,
758,甲,ㄐ丨ㄚˇ,,,,,
759,甸,ㄉ丨ㄢˋ,,,,,
760,町,ㄉ丨ㄥ,ㄊ丨ㄥˇ ,,,,
761,畝,ㄇㄨˇ,,,,,
762,畜,ㄒㄩˋ,ㄔㄨˋ,,,,
763,畦,ㄑ丨ˊ,,,,,
764,番,ㄈㄢ,ㄆㄢ,,,,
765,畬,ㄕㄜ,ㄩˊ,,,,
766,當,ㄉㄤ,ㄉㄤˋ,,,,
767,畿,ㄐ丨,,,,,
768,疋,ㄕㄨ,,,,,
769,疏,ㄕㄨ,,,,,
770,疵,ㄘ,,,,,
771,痴,ㄔ,,,,,
772,痾,ㄜ,,,,,
773,癌,ㄞˊ,,,,,
774,癖,ㄆ丨ˇ,,,,,
775,癤,ㄐ丨ㄝˊ,,,,,
776,癟,ㄅ丨ㄝˇ,ㄅ丨ㄝ,,,,
777,癬,ㄒ丨ㄢˇ,,,,,
778,白,ㄅㄞˊ,,,,,
779,百,ㄅㄞˇ,ㄅㄛˊ,,,,
780,的,˙ㄉㄜ,ㄉ丨ˊ,ㄉ丨ˋ,,,
781,皖,ㄨㄢˇ,,,,,
782,皿,ㄇ丨ㄣˇ,,,,,
783,益,丨ˋ,,,,,
784,盛,ㄔㄥˊ,ㄕㄥˋ,,,,
785,盟,ㄇㄥˊ,,,,,
786,監,ㄐ丨ㄢ,ㄐ丨ㄢˋ,,,,
787,省,ㄒ丨ㄥˇ,ㄕㄥˇ,,,,
788,相,ㄒ丨ㄤ,ㄒ丨ㄤˋ,,,,
789,看,ㄎㄢ,ㄎㄢˋ,,,,
790,盾,ㄉㄨㄣˋ,,,,,
791,睪,丨ˋ,ㄍㄠ,,,,
792,瞑,ㄇ丨ㄢˋ,ㄇ丨ㄥˊ,,,,
793,瞭,ㄌ丨ㄠˇ,ㄌ丨ㄠˋ,,,,
794,瞿,ㄐㄩˋ,ㄑㄩˊ,,,,
795,矇,ㄇㄥ,ㄇㄥˊ,,,,
796,矜,ㄐ丨ㄣ,,,,,
797,知,ㄓ,,,,,
798,石,ㄉㄢˋ,ㄕˊ,,,,
799,研,丨ㄢˊ,,,,,
800,砌,ㄑ丨ˋ,ㄑ丨ㄝˋ,,,,
801,硼,ㄆㄥˊ,,,,,
802,碩,ㄕㄨㄛˋ,,,,,
803,磅,ㄅㄤˋ,ㄆㄤ,,,,
804,磨,ㄇㄛˊ,ㄇㄛˋ,,,,
805,礦,ㄎㄨㄤˋ,,,,,
806,示,ㄕˋ,,,,,
807,祇,ㄑ丨ˊ,ㄓˇ,,,,
808,祕,ㄇ丨ˋ,,,,,
809,票,ㄆ丨ㄠˋ,,,,,
810,祭,ㄐ丨ˋ,ㄓㄞˋ,,,,
811,禁,ㄐ丨ㄣ,ㄐ丨ㄣˋ,,,,
812,禧,ㄒ丨,,,,,
813,禪,ㄔㄢˊ,ㄕㄢˋ,,,,
814,禰,ㄇ丨ˊ,ㄋ丨ˇ,,,,
815,秤,ㄆ丨ㄥˊ,ㄔㄥˋ,,,,
816,秘,ㄅ丨ˋ,ㄇ丨ˋ,,,,
817,稍,ㄕㄠ,,,,,
818,稟,ㄅ丨ㄥˇ,,,,,
819,種,ㄓㄨㄥˇ,ㄓㄨㄥˋ,,,,
820,稱,ㄔㄥ,ㄔㄥˋ,,,,
821,稽,ㄐ丨,ㄑ丨ˇ,,,,
822,穢,ㄏㄨㄟˋ,,,,,
823,穫,ㄏㄨㄛˋ,,,,,
824,穰,ㄖㄤˊ ,,,,,
825,穴,ㄒㄩㄝˋ,,,,,
826,究,ㄐ丨ㄡˋ,,,,,
827,空,ㄎㄨㄥ,ㄎㄨㄥˋ,,,,
828,穹,ㄑㄩㄥ,,,,,
829,窄,ㄓㄞˇ,,,,,
830,窘,ㄐㄩㄥˇ,,,,,
831,竺,ㄓㄨˊ,,,,,
832,答,ㄉㄚ,ㄉㄚˊ,,,,
833,箬,ㄖㄨㄛˋ,,,,,
834,簪,ㄗㄢ,,,,,
835,簿,ㄅㄨˋ,,,,,
836,簸,ㄅㄛˇ,ㄅㄛˋ,,,,
837,籠,ㄌㄨㄥˊ,,,,,
838,粘,ㄋ丨ㄢˊ,ㄓㄢ,,,,
839,粥,ㄓㄡ,ㄓㄨˋ,ㄩˋ,,,
840,粳,ㄍㄥ,,,,,
841,粽,ㄗㄨㄥˋ,,,,,
842,糊,ㄏㄨˊ,,,,,
843,糜,ㄇ丨ˊ,,,,,
844,糙,ㄘㄠ,,,,,
845,糸,ㄇ丨ˋ,,,,,
846,糾,ㄐ丨ㄡ,,,,,
847,紅,ㄏㄨㄥˊ,ㄍㄨㄥ,,,,
848,紀,ㄐ丨ˋ,,,,,
849,紇,ㄏㄜˊ,,,,,
850,索,ㄙㄨㄛˇ,,,,,
851,純,ㄔㄨㄣˊ,,,,,
852,紕,ㄆ丨,,,,,
853,紮,ㄓㄚˊ,,,,,
854,累,ㄌㄟˇ,ㄌㄟˋ,,,,
855,結,ㄐ丨ㄝ,ㄐ丨ㄝˊ,,,,
856,絡,ㄌㄠˋ,ㄌㄨㄛˋ,,,,
857,給,ㄍㄟˇ,ㄐ丨ˇ,,,,
858,絜,ㄒ丨ㄝˊ ,,,,,
859,綏,ㄙㄨㄟ,,,,,
860,綠,ㄌㄩˋ,,,,,
861,綸,ㄌㄨㄣˊ,ㄍㄨㄢ,,,,
862,綮,ㄑ丨ˇ,ㄑ丨ㄥˋ ,,,,
863,緝,ㄑ丨ˋ,,,,,
864,緣,ㄩㄢˊ,,,,,
865,縣,ㄒ丨ㄢˋ,,,,,
866,縕,ㄩㄣˋ,,,,,
867,縮,ㄙㄨㄛ,,,,,
868,繆,ㄇㄡˊ,ㄇ丨ㄠˋ,ㄇ丨ㄡˋ,,,
869,繃,ㄅㄥ,ㄅㄥˇ,ㄅㄥˋ,,,
870,縫,ㄈㄥˊ,ㄈㄥˋ,,,,
871,縱,ㄗㄨㄥ,ㄗㄨㄥˋ,,,,
872,繁,ㄆㄛˊ,ㄈㄢˊ,,,,
873,縳,ㄓㄨㄢˋ,,,,,
874,縹,ㄆ丨ㄠˇ ,,,,,
875,繇,丨ㄠˊ,,,,,
876,繒,ㄗㄥ,,,,,
877,繫,ㄐ丨ˋ,ㄒ丨ˋ,,,,
878,繳,ㄐ丨ㄠˇ,ㄓㄨㄛˊ,,,,
879,署,ㄕㄨˇ,ㄕㄨˋ,,,,
880,罷,ㄅㄚˋ,˙ㄅㄚ,ㄆ丨ˊ,,,
881,罾,ㄗㄥ,,,,,
882,羊,丨ㄤˊ,,,,,
883,羋,ㄇ丨ˇ,ㄇ丨ㄝ,,,,
884,羹,ㄍㄥ,,,,,
885,翟,ㄉ丨ˊ,ㄓㄞˊ,,,,
886,翮,ㄍㄜˊ,,,,,
887,翳,丨ˋ,,,,,
888,翹,ㄑ丨ㄠˊ,ㄑ丨ㄠˋ,,,,
889,耀,丨ㄠˋ,,,,,
890,耕,ㄍㄥ,,,,,
891,耙,ㄆㄚˊ,,,,,
892,耶,丨ㄝˊ,,,,,
893,聘,ㄆ丨ㄥˋ,,,,,
894,聞,ㄨㄣˊ,,,,,
895,聽,ㄊ丨ㄥ,ㄊ丨ㄥˋ,,,,
896,肉,ㄖㄡˋ,,,,,
897,肋,ㄌㄜˋ,,,,,
898,肚,ㄉㄨˇ,ㄉㄨˋ,,,,
899,肺,ㄈㄟˋ,,,,,
900,肴,丨ㄠˊ,,,,,
901,肪,ㄈㄤˊ,,,,,
902,肯,ㄎㄣˇ,,,,,
903,胖,ㄆㄢˊ,ㄆㄤˋ,,,,
904,背,ㄅㄟ,ㄅㄟˋ,,,,
905,脈,ㄇㄞˋ,ㄇㄛˋ,,,,
906,脊,ㄐ丨ˇ,,,,,
907,脯,ㄆㄨˊ,ㄈㄨˇ,,,,
908,脫,ㄊㄨㄛ,,,,,
909,腋,丨ㄝˋ,,,,,
910,腊,ㄒ丨ˊ ,ㄌㄚˋ,,,,
911,腳,ㄐ丨ㄠˇ,,,,,
912,膀,ㄅㄤˇ,ㄆㄤ,ㄆㄤˊ,ㄅㄤˋ,,
913,膏,ㄍㄠ,ㄍㄠˋ,,,,
914,膜,ㄇㄛˊ,,,,,
915,膞,ㄓㄨㄢ,,,,,
916,臃,ㄩㄥ,,,,,
917,臂,ㄅ丨ˋ,,,,,
918,臊,ㄙㄠ,ㄙㄠˋ ,,,,
919,臠,ㄌㄨㄢˊ,,,,,
920,臭,ㄒ丨ㄡˋ,ㄔㄡˋ,,,,
921,臾,ㄩˊ,,,,,
922,與,ㄩˊ,ㄩˇ,ㄩˋ,,,
923,興,ㄒ丨ㄥ,ㄒ丨ㄥˋ,,,,
924,舍,ㄕㄜˇ,ㄕㄜˋ,,,,
925,般,ㄅㄛ,ㄅㄢ,ㄆㄢˊ,,,
926,舳,ㄓㄨˊ,,,,,
927,艘,ㄙㄠ,,,,,
928,艮,ㄍㄣˇ,ㄍㄣˋ,,,,
929,色,ㄙㄜˋ,ㄕㄞˇ,,,,
930,艾,ㄞˋ,丨ˋ,,,,
931,芍,ㄕㄠˊ,,,,,
932,芯,ㄒ丨ㄣ ,,,,,
933,苛,ㄎㄜ,,,,,
934,茄,ㄐ丨ㄚ,ㄑ丨ㄝˊ,,,,
935,若,ㄖㄜˇ,ㄖㄨㄛˋ,,,,
936,茂,ㄇㄠˋ,,,,,
937,苔,ㄊㄞ,ㄊㄞˊ,,,,
938,苑,ㄩㄢˋ,,,,,
939,苫,ㄕㄢ ,,,,,
940,苴,ㄐㄩ ,,,,,
941,茆,ㄇㄠˇ ,,,,,
942,茸,ㄖㄨㄥˊ,,,,,
943,茲,ㄗ,ㄘˊ,,,,
944,茹,ㄖㄨˊ,,,,,
945,茗,ㄇ丨ㄥˊ,,,,,
946,荑,丨ˊ,,,,,
947,茷,ㄈㄚˊ ,,,,,
948,莎,ㄕㄚ,ㄙㄨㄛ,,,,
949,莞,ㄍㄨㄢ,ㄨㄢˇ,ㄍㄨㄢˇ,,,
950,莘,ㄒ丨ㄣ,,,,,
951,荸,ㄅ丨ˊ,,,,,
952,莫,ㄇㄛˋ,,,,,
953,莠,丨ㄡˋ,,,,,
954,荷,ㄏㄜˊ,ㄏㄜˋ,,,,
955,荼,ㄊㄨˊ,ㄕㄨ,,,,
956,莩,ㄈㄨˊ,,,,,
957,菸,丨ㄢ,,,,,
958,華,ㄏㄨㄚ,ㄏㄨㄚˊ,ㄏㄨㄚˋ,,,
959,菴,ㄢ,,,,,
960,著,˙ㄓㄜ,ㄓㄠ,ㄓㄠˊ,ㄓㄨˋ,ㄓㄨㄛˊ,
961,菲,ㄈㄟ,ㄈㄟˇ,,,,
962,萎,ㄨㄟ,,,,,
963,菉,ㄌㄩˋ ,,,,,
964,菔,ㄈㄨˊ ,,,,,
965,菑,ㄗ ,,,,,
966,葷,ㄏㄨㄣ,ㄒㄩㄣ,,,,
967,落,ㄌㄚˋ,ㄌㄠˋ,ㄌㄨㄛˋ,,,
968,葉,ㄕㄜˋ,丨ㄝˋ,,,,
969,葛,ㄍㄜˊ,ㄍㄜˇ,,,,
970,葚,ㄕㄣˋ,,,,,
971,蓋,ㄍㄜˇ,ㄍㄞˋ,,,,
972,蓁,ㄓㄣ ,,,,,
973,蔽,ㄅ丨ˋ,,,,,
974,蔚,ㄨㄟˋ,ㄩˋ,,,,
975,蔬,ㄕㄨ,,,,,
976,蔓,ㄇㄢˊ,ㄇㄢˋ,,,,
977,蔡,ㄘㄞˋ,,,,,
978,蓼,ㄌ丨ㄠˇ,ㄌㄨˋ ,,,,
979,蕈,ㄒㄩㄣˋ,,,,,
980,蕃,ㄈㄢ,ㄈㄢˊ,ㄅㄛ,,,
981,蕉,ㄐ丨ㄠ,,,,,
982,薄,ㄅㄛˊ,ㄅㄛˋ,,,,
983,薜,ㄅ丨ˋ,,,,,
984,藏,ㄗㄤˋ,ㄘㄤˊ,,,,
985,藉,ㄐ丨ˊ,ㄐ丨ㄝˋ,,,,
986,薺,ㄐ丨ˋ,ㄑ丨ˊ ,,,,
987,藷,ㄓㄨ,ㄕㄨˇ,,,,
988,蘋,ㄆ丨ㄣˊ,ㄆ丨ㄥˊ,,,,
989,蘘,ㄖㄤˊ,,,,,
990,虎,ㄏㄨˇ,ㄏㄨ,,,,
991,處,ㄔㄨˇ,ㄔㄨˋ,,,,
992,虜,ㄌㄨˇ,,,,,
993,號,ㄏㄠˊ,ㄏㄠˋ,,,,
994,虫,ㄏㄨㄟˇ,ㄔㄨㄥˊ,,,,
995,虺,ㄏㄨㄟ,ㄏㄨㄟˇ ,,,,
996,蚌,ㄅㄤˋ,,,,,
997,蛇,ㄕㄜˊ,丨ˊ,,,,
998,蚵,ㄎㄜ,ㄜˊ,,,,
999,蛆,ㄐㄩ,ㄑㄩ,,,,
1000,蛤,ㄍㄜˊ,ㄏㄚˊ,,,,
1001,蛾,ㄜˊ,,,,,
1002,蛻,ㄊㄨㄟˋ,,,,,
1003,蜿,ㄨㄢ,,,,,
1004,蝦,ㄒ丨ㄚ,ㄏㄚˊ,,,,
1005,蝙,ㄅ丨ㄢ,,,,,
1006,螞,ㄇㄚˇ,ㄇㄚˋ,,,,
1007,蟀,ㄕㄨㄞˋ,,,,,
1008,螫,ㄓㄜ,,,,,
1009,蟄,ㄓˊ,,,,,
1010,蟹,ㄒ丨ㄝˋ,,,,,
1011,蠕,ㄖㄨˊ,,,,,
1012,蠡,ㄌ丨ˊ,ㄌ丨ˇ,,,,
1013,血,ㄒ丨ㄝˇ,,,,,
1014,行,ㄏㄤˊ,ㄏㄤˋ,ㄒ丨ㄥˊ,ㄒ丨ㄥˋ,,
1015,術,ㄕㄨˋ,,,,,
1016,衙,丨ㄚˊ,,,,,
1017,衝,ㄔㄨㄥ,ㄔㄨㄥˋ,,,,
1018,衣,丨,丨ˋ,,,,
1019,衰,ㄕㄨㄞ,ㄘㄨㄟ,,,,
1020,被,ㄅㄟˋ,,,,,
1021,裳,ㄔㄤˊ,˙ㄕㄤ,,,,
1022,裨,ㄅ丨ˋ,ㄆ丨ˊ,,,,
1023,褪,ㄊㄨㄣˋ,,,,,
1024,褶,ㄉ丨ㄝˊ,ㄒㄩㄝˊ,ㄓㄜˊ,,,
1025,要,丨ㄠ,丨ㄠˋ,,,,
1026,覃,ㄊㄢˊ,ㄑ丨ㄣˊ,,,,
1027,見,ㄐ丨ㄢˋ,,,,,
1028,親,ㄑ丨ㄣ,ㄑ丨ㄥˋ,,,,
1029,覲,ㄐ丨ㄣˋ,,,,,
1030,覺,ㄐ丨ㄠˋ,ㄐㄩㄝˊ,,,,
1031,觀,ㄍㄨㄢ,ㄍㄨㄢˋ,,,,
1032,角,ㄌㄨˋ,ㄐ丨ㄠˇ,ㄐㄩㄝˊ,,,
1033,解,ㄐ丨ㄝˇ,ㄐ丨ㄝˋ,ㄒ丨ㄝˋ,,,
1034,言,丨ㄢˊ,,,,,
