一次性,70031,4456,,,,4
一費通,241,126,,,,4
三責險,446,420,,,,4
下工,477,58314,,,,4
並線,109277,13797,,,,4
串吧,1278,357,,,,4
串皮,109940,11616,,,,4
乾啤,111100,12057,,,,4
二板市場,1643,1629,,,,4
交通協管員,1819,81297,,,,4
估堆兒,111305,19565,,,,4
低保,2633,254,,,,4
侃大山,2883,80473,,,,4
來回來去,81060,19698,,,,4
供樓,120515,21210,,,,4
保墒,81114,13175,,,,4
信天遊,69625,5320,,,,4
信息點,2934,839,,,,4
個人計算機,120123,16848,,,,4
個體醫,63239,4878,,,,4
做優,3464,501,,,,4
優撫,70288,5577,,,,4
克隆,4187,862,,,,4
兒童團,81496,12939,,,,4
內房股,4348,1180,,,,4
內存,81523,16911,,,,4
內審員,4383,650,,,,4
兩限房,4492,2347,,,,4
公交車,4601,58907,,,,4
出工,61617,5658,,,,4
列兵,65684,5792,,,,4
別動隊,82054,14558,,,,4
到點,82087,15183,,,,4
剩餘勞動,67830,7308,,,,4
創匯額,5859,2401,,,,4
力度,65553,7139,,,,4
劫犯,82234,16532,,,,4
勞教,65451,5967,,,,4
勞技,6199,79781,,,,4
勞動布,112982,14127,,,,4
勞動手段,112986,14208,,,,4
北京時間,6413,80262,,,,4
反革命,62651,6980,,,,4
句調,7493,81528,,,,4
叫真,64672,5876,,,,4
叫勁,64666,5871,,,,4
吃小灶,82731,15528,,,,4
吃空額,109757,15537,,,,4
吃皇糧,82740,15619,,,,4
同案犯,7589,80521,,,,4
名劇週,7853,2642,,,,4
吞拿魚,120544,17109,,,,4
告送,111183,15757,,,,4
哭吧,8401,1984,,,,4
商品房,67641,5931,,,,4
單條,110237,16856,,,,4
回歸劇,9204,3090,,,,4
國有企業,111521,17429,,,,4
國際奧委會,120713,17484,,,,4
地板磚,62156,6660,,,,4
坡改梯,9841,3026,,,,4
埋汰,113508,17418,,,,4
境外就業,10169,80945,,,,4
增崗,10219,2082,,,,4
墶,61953,94585,,,,4
大齡青年,61921,7375,,,,4
大馬哈魚,10859,80163,,,,4
太空機,11336,3132,,,,4
失墒,83994,116057,,,,4
奶聲奶氣,11724,80686,,,,4
婚外戀,12152,81524,,,,4
宅基地,70687,6291,,,,4
安拉,12661,79751,,,,4
宏觀調控,84354,97180,,,,4
室內劇,12885,3550,,,,4
封頂,62859,6706,,,,4
小生產,69489,7062,,,,4
小區,84659,97164,,,,4
尜尜,63050,93524,,,,4
尾氣,68953,6925,,,,4
屏幕文字,13974,80366,,,,4
展播,14014,80373,,,,4
履職,113398,114923,,,,4
平方千米,49398,84825,,,,4
廠礦,61395,7571,,,,4
廣播體操,63539,7568,,,,4
彩顯,15553,3892,,,,4
微型車,15881,81344,,,,4
心肌梗死,15964,81296,,,,4
性賠償,16275,5467,,,,4
怪圈,16297,81259,,,,4
恤衫,16391,66275,,,,4
慣偷,63511,7461,,,,4
打吊針,17784,81509,,,,4
打黑,17861,81549,,,,4
投入品,18130,5493,,,,4
拉拉秀,18272,5536,,,,4
