總分類,子分類,注音,漢語拼音,臺1,臺2,臺3,陸1,陸2,陸3,香1,香2,香3,澳1,澳2,澳3,差異說明
食,蔬果,ㄐㄧㄝˊ　ㄑㄧㄡˊ　ㄨㄛ　ㄐㄩˋ,jié qiú wō jù,結球萵苣,包心萵苣-,西生菜,結球萵苣,結球生菜,捲心窩苣,結球萵苣,包心窩苣,西生菜,結球萵苣,包心窩苣,西生菜,結球萵苣因為外形呈圓球狀，因此臺灣稱之為「包心窩苣」、「球萵苣」，大陸則俗稱稱為「圓生菜」或「球生菜」。在香港、澳門地區，結球萵苣俗稱「西生菜」，用以區別嫩葉萵苣的「唐生菜」。
食,蔬果,ㄨㄣ　ㄕˋ　ㄕㄨ　ㄘㄞˋ,wēn shì shū cài,溫室蔬菜,,,大棚蔬菜,,,,,,,,,「大棚」是一種以塑膠薄膜搭建而成簡易溫室，經常用於蔬果與花卉樹苗等植物栽培，也可以運用於養殖業。搭建大棚所使用的塑膠膜，因材質、成本和所具的特性不同，功能和效果不一。大棚養殖技術自1957年以來，廣泛施行於大陸各地，因此「大棚蔬菜」的種植非常普遍。
食,蔬果,ㄆㄨˊ　ㄊㄠˊ　ㄧㄡˋ,pú táo yòu,葡萄柚,,,西柚,,,西柚,,,西柚,,,
食,蔬果,,,酪梨,,,鱷梨,,,牛油果,鱷梨,酪梨,酪梨,鱷梨,牛油果,
食,蔬果,ㄋㄣˋ　ㄧㄝˋ　ㄨㄛ　ㄐㄩˋ,nèn yè wō jù,嫩葉萵苣,大陸妹,生菜,嫩葉萵苣,生菜,千金菜,油麥菜,生菜,唐生菜,油麥菜,唐生菜,生菜,嫩葉萵苣有各種不同稱呼。因早期傳入中國時價格昂貴，有「千金菜」之稱。此菜蔬早期由中國大陸進口，因物美價廉，被俗稱為「大陸妹」。嫩葉萵苣的臺語稱為「蒿仔菜」或諧音「A菜」，客家語諧音則稱呼為「媚仔菜」。香港稱之為「唐生菜」，用以區別結球萵苣的西生菜。
食,蔬果,,,榛子,榛果,,榛子,,,,,,,,,
食,蔬果,ㄌㄩˋ　ㄏㄨㄚ　ㄧㄝˊ　ㄘㄞˋ,lǜ huā yé cài,綠花椰菜,青花菜,青花苔,青花菜,西蘭花,綠花菜,西蘭花,綠菜花,綠花菜,西蘭花,綠菜花,綠花菜,綠花椰菜在各地有許多不同稱呼。因它是從美國傳入，因此臺灣稱呼為「美國花菜」或「美國青花菜」。且綠花椰菜的花球尖端形狀如同細苔，又被稱為「青花苔」。大陸香港和澳門都稱它為「西蘭花」，因原產於義大利，又俗稱為「義大利芥藍」。
食,蔬果,ㄈㄥˋ　ㄌㄧˊ,fèng lí,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨,波羅,菠蘿,鳳梨又有「波羅」和「菠蘿」的稱呼。大陸部分南方地區，以及新加坡、馬來西亞等地，稱鳳梨為「黃梨」。
食,蔬果,ㄕˋ　ㄐㄧㄚ,shì jiā,釋迦,釋迦果,番荔枝,釋迦果,佛頭果,洋波羅,番荔枝,鬼荔枝,番鬼荔枝,番荔枝,鬼荔枝,番鬼荔枝,釋迦因形狀如佛頭，有「佛頭果」之稱。大陸廣東地區稱為「林檎」。且釋迦的外表與結構，酷似廣西特產水果波羅蜜，又是從國外引進，因此廣西地區稱為「洋波羅」或「假波羅」。香港和澳門則因釋迦外表與荔枝相似，又是被洋人引入，粵語稱為「番荔枝」、「鬼荔枝」或「番鬼荔枝」。
食,蔬果,ㄧㄥ　ㄊㄠˊ,yīng táo,櫻桃,麥英,春櫻,櫻桃,車厘子,,櫻桃,車厘子,,櫻桃,車厘子,,「車厘子」是櫻桃的複數英文Cherries的粵語音譯。
食,蔬果,,,纖維質,,,粗纖維,,,,,,,,,
食,蔬果,,,蘿蔔,菜頭,,蘿蔔,水蘿蔔,,,,,,,,
食,飲食相關,ㄅㄨˋ　ㄓㄢ　ㄍㄨㄛ,bù zhān guō,不沾鍋,,,不粘鍋,,,,,,,,,
食,飲食相關,ㄅㄠˇ　ㄘㄨㄣˊ　ㄑㄧˊ　ㄒㄧㄢˋ,bǎo cún qí xiàn,保存期限,,,保質期,,,,,,,,,大陸的「保質期」和「保存期」的意思不同。「保質期」所指的是商品在正常條件下的品質保證期限，在期限內，生產企業或機構對於商品的品質、食用安全負完全責任，店家可以放心銷售，消費者也可以安全使用。對部分商品來說，「保存期」的期限則超過「保質期」。即使期限超過保質期，不意味商品無法使用，而是品質不能達到原商品的標準。因此對商品來說，即使超過保質期仍可降價銷售，但超過保存期就無法販賣。
食,飲食相關,,,宵夜,消夜,,夜宵,消夜,,,,,,,,
食,飲食相關,,,廚餘,,,廚餘,餐廚垃圾,,,,,,,,
食,飲食相關,,,調理包,,,軟罐頭,,,,,,,,,
食,飲食相關,,,鋁箔包,,,軟包裝,,,,,,,,,
食,飲食相關,ㄙㄡ　ㄕㄨㄟˇ　ㄧㄡˊ,sōu shuǐ yóu,餿水油,,,地溝油,潲水油,,,,,,,,
衣,服飾,T　ㄒㄩˋ,T xù,T恤,,,T恤衫,短袖衫,,,,,,,,「T恤」是音譯英文的T-shirt一詞。大陸地區又稱為「文化衫」，是因為T恤的圖案或文字，經常反映某些文化心理。
衣,服飾,ㄋㄟˋ　ㄉㄚ　ㄎㄨˋ,nèi dā kù,內搭褲,,,打底褲,,,,,,,,,無論是稱為「內搭褲」或「打底褲」，都是以穿著功能來命名，強調它適合搭配外衣或裙褲穿著的功用。
衣,服飾,,,內褲,,,內褲,襯褲,,,,,,,,
衣,服飾,,,太陽眼鏡,,,太陽鏡,,,,,,,,,
衣,服飾,,,平頭,,,平頭,寸頭,板寸,,,,,,,
衣,服飾,,,拉鍊,,,拉鍊,拉鎖,,,,,,,,
衣,服飾,,,雨鞋,,,雨鞋,水鞋,,,,,,,,
衣,服飾,,,背心,,,背心,馬甲,,,,,,,,
衣,服飾,,,風格,,,風格,范兒,,,,,,,,
衣,服飾,,,紋身貼紙,文身貼紙,,紋身貼,文身貼,紋身彩貼,,,,,,,
衣,服飾,ㄒㄩㄥ　ㄓㄠˋ,xiōng zhào,胸罩,奶罩,乳罩,奶罩,乳罩,,奶罩,乳罩,胸圍,奶罩,乳罩,胸圍,
衣,服飾,,,迷你裙,,,迷你裙,超短裙,,,,,,,,
衣,服飾,,,連身裙,連衣裙,,連衣裙,布拉吉,,,,,,,,
衣,服飾,,,短裝,,,短打,,,,,,,,,
衣,服飾,,,短褲,,,短褲,褲衩,,,,,,,,
衣,服飾,,,塑膠鞋,,,膠鞋,,,,,,,,,
衣,服飾,,,楔型鞋,,,坡跟鞋,,,,,,,,,
衣,服飾,,,慕斯,,,摩絲,,,,,,,,,
衣,服飾,,,熱褲,,,緊身短褲,,,,,,,,,
衣,服飾,,,蝴蝶袖,蝙蝠袖,,蝴蝶袖,蝙蝠衫,,雞翼袖,,,雞翼袖,,,
衣,服飾,,,衛生衣,,,棉毛衫,秋衣,,,,,,,,因為通常是入秋天冷後穿著，所以大陸稱為「秋衣」，又稱為「棉毛衫」。臺灣之所以稱之為「衛生衣」，有一說法是來源於日文漢字。
衣,服飾,ㄨㄟˋ　ㄕㄥ　ㄎㄨˋ,wèi shēng kù,衛生褲,,,秋褲,棉毛褲,,,,,,,,因為通常於秋天天涼後開始穿著，所以大陸稱之為「秋褲」，又稱為「棉毛褲」。
衣,服飾,,,遮陽帽,,,遮陽帽,太陽帽,,,,,,,,
衣,服飾,,,髮夾,,,髮卡,,,,,,,,,
衣,服飾,,,髮圈,,,髮圈,頭繩,,,,,,,,
衣,服飾,,,褲裙,,,裙褲,,,,,,,,,
衣,服飾,,,褲襪,,,連襪褲,襪褲,連褲襪,襪褲,,,襪褲,,,
衣,服飾,,,臂章,,,袖標,,,,,,,,,
衣,服飾,ㄩㄣˋ　ㄌㄩˋ　ㄎㄨˋ,yùn lǜ kù,韻律褲,踩腳褲,,踩腳褲,健美褲,踏腳褲,,,,,,,大陸因健美操的緣故，將「韻律褲」稱為「健美褲」。1980年至1990年間極為風行，流行之所至，還產生出「不管多大官，都穿夾克衫；不管多大肚，都穿健美褲」的順口溜。
衣,服飾,,,魔術胸罩,隱形胸罩,NuBra,隱形文胸,硅膠文胸,自黏文胸,,,,,,,「NuBra」是隱形胸罩最初在臺販售時，引進的產品品牌名稱，因為廣泛使用，因此成為隱形胸罩的代稱。又因隱形胸罩的材質使用矽膠，而矽膠在大陸稱為「硅膠」，故俗稱為硅膠文胸。
衣,服飾,,,襯衫,,,襯衫,襯衣,,,,,,,,
衣,清潔美容,ㄑㄩˋ　ㄍㄨㄤ　ㄕㄨㄟˇ,qù guāng shuǐ,去光水,,,洗甲水,,,,,,,,,
衣,清潔美容,ㄖㄡˊ　ㄖㄨㄢˇ　ㄐㄧㄥ,róu ruǎn jīng,柔軟精,衣物柔軟精,,柔順劑,,,,,,,,,
衣,清潔美容,ㄍㄨㄚ　ㄏㄨˊ　ㄉㄠ,guā hú dāo,刮鬍刀,,,剃鬍刀,剃鬚刀,刮臉刀,刮鬍刀,剃鬚刀,,刮鬍刀,剃鬚刀,,
衣,清潔美容,ㄔㄡ　ㄑㄩˇ　ㄕˋ　ㄨㄟˋ　ㄕㄥ　ㄓˇ,chōu qǔ shì wèi shēng zhǐ,抽取式衛生紙,,,抽紙,紙巾,紙抽,,,,,,,
